"","Date","BTI","NPN","AGL","MNP","SOL","SBK","NED","ABG","SHP","FSR"
"1123170",1557817202,NaN,334550,NaN,NaN,44402.9299781182,NaN,NaN,NaN,NaN,NaN
"1123172",1557817204,NaN,334955,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1123173",1557817205,NaN,334955,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1123176",1557817208,NaN,334591,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1123177",1557817209,NaN,334551.163513514,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1123178",1557817210,NaN,334742.77672956,NaN,NaN,44502.3111111111,NaN,NaN,NaN,NaN,NaN
"1123179",1557817211,NaN,334427,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1123180",1557817212,NaN,334643.807692308,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1123182",1557817214,NaN,NaN,NaN,NaN,NaN,NaN,27478.288912025,NaN,NaN,NaN
"1123183",1557817215,NaN,NaN,NaN,NaN,NaN,NaN,27469.0292598967,NaN,NaN,NaN
"1123193",1557817225,NaN,NaN,NaN,NaN,NaN,NaN,27727,NaN,NaN,NaN
"1123205",1557817237,NaN,334421,NaN,30515,NaN,NaN,NaN,NaN,NaN,NaN
"1123209",1557817241,NaN,NaN,NaN,NaN,NaN,20424.9180253623,NaN,NaN,NaN,NaN
"1123210",1557817242,NaN,NaN,NaN,NaN,NaN,20433,NaN,NaN,NaN,NaN
"1123213",1557817245,NaN,NaN,NaN,NaN,NaN,NaN,27450,NaN,NaN,NaN
"1123215",1557817247,NaN,334420.442477876,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1123216",1557817248,NaN,334415,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1123219",1557817251,NaN,334415,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1123220",1557817252,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6898.01869761444
"1123223",1557817255,NaN,NaN,NaN,NaN,NaN,20376.5,NaN,NaN,NaN,NaN
