"","Date","BTI","NPN","AGL","MNP","SOL","SBK","NED","ABG","SHP","FSR"
"2591982",1559286014,NaN,NaN,NaN,NaN,NaN,NaN,25999,NaN,NaN,NaN
"2591986",1559286018,NaN,NaN,NaN,NaN,37647.6454293629,NaN,NaN,NaN,NaN,NaN
"2591988",1559286020,NaN,NaN,NaN,NaN,37677.1620185923,NaN,NaN,NaN,NaN,NaN
"2591992",1559286024,NaN,NaN,NaN,NaN,37604,NaN,NaN,NaN,NaN,NaN
"2591997",1559286029,NaN,NaN,NaN,NaN,37604,NaN,NaN,NaN,NaN,NaN
"2591999",1559286031,NaN,NaN,NaN,NaN,37604,NaN,NaN,NaN,NaN,NaN
"2592003",1559286035,NaN,NaN,NaN,NaN,37604,NaN,NaN,NaN,NaN,NaN
"2592008",1559286040,NaN,327721,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2592009",1559286041,NaN,NaN,NaN,NaN,37588,NaN,NaN,NaN,NaN,NaN
"2592013",1559286045,NaN,NaN,NaN,NaN,37588,NaN,NaN,NaN,NaN,NaN
"2592014",1559286046,NaN,NaN,NaN,NaN,37694,NaN,NaN,NaN,NaN,NaN
"2592018",1559286050,NaN,327885,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2592020",1559286052,NaN,NaN,NaN,30519.4282425173,NaN,NaN,NaN,NaN,NaN,NaN
"2592021",1559286053,NaN,NaN,35700,NaN,NaN,19565.012345679,NaN,NaN,NaN,NaN
"2592022",1559286054,NaN,NaN,NaN,NaN,NaN,19580,NaN,NaN,NaN,6562.29996269121
"2592024",1559286056,NaN,NaN,NaN,30500,NaN,NaN,NaN,NaN,NaN,6548.41474588404
"2592025",1559286057,NaN,NaN,35711.6086235489,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2592030",1559286062,NaN,NaN,NaN,NaN,37591,NaN,NaN,NaN,NaN,NaN
"2592031",1559286063,NaN,NaN,NaN,NaN,NaN,19577.6942711288,NaN,NaN,NaN,6541
"2592032",1559286064,NaN,NaN,NaN,NaN,NaN,19669,NaN,NaN,NaN,NaN
"2592033",1559286065,NaN,NaN,NaN,30500,NaN,19565,NaN,NaN,NaN,NaN
"2592035",1559286067,NaN,NaN,NaN,NaN,NaN,19679,NaN,NaN,NaN,NaN
