"","Date","BTI","NPN","AGL","MNP","SOL","SBK","NED","ABG","SHP","FSR"
"259175",1561532407,50065.414893617,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"259187",1561532419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6904
"259196",1561532428,NaN,NaN,NaN,NaN,35317.4364837398,NaN,NaN,NaN,NaN,NaN
"259199",1561532431,NaN,NaN,NaN,NaN,35357,NaN,NaN,NaN,NaN,NaN
"259200",1561532432,NaN,NaN,NaN,NaN,35251,NaN,NaN,NaN,NaN,NaN
"259201",1561532433,NaN,NaN,NaN,NaN,35258,NaN,NaN,NaN,NaN,NaN
"259202",1561532434,NaN,NaN,NaN,32100,NaN,NaN,NaN,NaN,NaN,NaN
"259205",1561532437,NaN,336115.179844961,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"259207",1561532439,50001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"259208",1561532440,50000.1451187335,336000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"259209",1561532441,NaN,NaN,NaN,32000,NaN,NaN,NaN,NaN,NaN,NaN
"259210",1561532442,50000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"259211",1561532443,NaN,NaN,NaN,NaN,35251,NaN,NaN,NaN,NaN,NaN
"259213",1561532445,NaN,NaN,NaN,NaN,35252,NaN,NaN,NaN,NaN,NaN
"259215",1561532447,NaN,336155.900515464,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"259216",1561532448,50075,336483.25862069,39657,NaN,35324.4421906694,NaN,NaN,NaN,NaN,6905
"259217",1561532449,NaN,336483,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"259218",1561532450,50072,336574.861575179,39660.0083682008,32071,35384.2592592593,NaN,NaN,NaN,NaN,6905
"259219",1561532451,NaN,336662,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"259229",1561532461,NaN,NaN,NaN,NaN,35300.6,NaN,NaN,NaN,NaN,NaN
"259233",1561532465,NaN,337000.341488277,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"259234",1561532466,49804,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"259237",1561532469,NaN,337160,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"259242",1561532474,NaN,337160,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"259243",1561532475,NaN,337223,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"259246",1561532478,NaN,337500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"259247",1561532479,NaN,337330,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"259251",1561532483,NaN,337419.193973635,NaN,NaN,35481,20189,25848,17880,16497,6898
"259252",1561532484,NaN,NaN,NaN,NaN,NaN,20188,25847,17880,16496,6899
"259253",1561532485,49843,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"259255",1561532487,NaN,NaN,39694,32029,35479,NaN,NaN,NaN,16495,6900
"259257",1561532489,NaN,NaN,39693,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"259260",1561532492,NaN,NaN,NaN,NaN,35351,NaN,NaN,NaN,NaN,NaN
"259267",1561532499,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6893.00391644909
"259268",1561532500,NaN,NaN,NaN,NaN,35350,20179,NaN,NaN,NaN,NaN
"259269",1561532501,NaN,NaN,NaN,NaN,35473,NaN,NaN,NaN,NaN,NaN
"259271",1561532503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6886
"259272",1561532504,NaN,NaN,39730,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"259274",1561532506,NaN,337700,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"259275",1561532507,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6890
"259278",1561532510,NaN,NaN,NaN,NaN,35340,NaN,NaN,NaN,NaN,NaN
"259280",1561532512,NaN,NaN,39729,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"259285",1561532517,NaN,337700,NaN,NaN,NaN,20167,NaN,NaN,NaN,NaN
"259286",1561532518,NaN,NaN,NaN,NaN,NaN,20115.3168155971,NaN,NaN,NaN,NaN
"259287",1561532519,NaN,NaN,NaN,NaN,NaN,20116,NaN,NaN,NaN,NaN
"259288",1561532520,NaN,NaN,NaN,NaN,35336,NaN,NaN,NaN,NaN,NaN
"259289",1561532521,NaN,NaN,NaN,NaN,NaN,NaN,25620.5166508088,NaN,NaN,NaN
"259290",1561532522,NaN,NaN,NaN,NaN,NaN,NaN,25603.4435326299,NaN,NaN,6889.27914048246
"259291",1561532523,NaN,337582,NaN,NaN,35325,NaN,25608.2978723404,NaN,NaN,NaN
"259292",1561532524,NaN,337700,39726,32037.9434628975,35463,20174,25600.8171206226,17878,16494,6891
