"","Date","BTI","NPN","AGL","MNP","SOL","SBK","NED","ABG","SHP","FSR"
"2937579",1559631611,NaN,NaN,NaN,30165,NaN,NaN,NaN,NaN,NaN,NaN
"2937587",1559631619,NaN,NaN,NaN,NaN,36600,NaN,NaN,NaN,NaN,NaN
"2937588",1559631620,NaN,NaN,NaN,NaN,36596.2486865149,NaN,NaN,NaN,NaN,NaN
"2937590",1559631622,NaN,NaN,NaN,NaN,36648,NaN,NaN,NaN,NaN,NaN
"2937597",1559631629,NaN,NaN,NaN,NaN,36648,NaN,NaN,NaN,NaN,NaN
"2937601",1559631633,NaN,NaN,NaN,NaN,36581.3755458515,NaN,NaN,NaN,NaN,NaN
"2937602",1559631634,NaN,NaN,NaN,NaN,36580,NaN,NaN,NaN,NaN,NaN
"2937610",1559631642,NaN,NaN,NaN,NaN,NaN,20235,NaN,NaN,NaN,NaN
"2937614",1559631646,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6769.17574257426
"2937618",1559631650,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6772.96371191136
"2937619",1559631651,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6767
"2937621",1559631653,49776.38,NaN,NaN,NaN,NaN,NaN,NaN,17129,NaN,NaN
"2937625",1559631657,NaN,328565.602941176,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2937626",1559631658,NaN,328279.103448276,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2937627",1559631659,NaN,328294.997222222,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2937628",1559631660,NaN,328100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6766
"2937629",1559631661,NaN,328100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2937630",1559631662,NaN,328093.227848101,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2937631",1559631663,49673.8540586146,328100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2937632",1559631664,NaN,328261.868131868,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2937633",1559631665,NaN,328100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2937634",1559631666,NaN,328100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2937635",1559631667,NaN,328100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2937636",1559631668,NaN,328210.616052061,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2937637",1559631669,NaN,327894.101941748,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2937638",1559631670,NaN,327316.903846154,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6767
"2937639",1559631671,NaN,327150,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2937640",1559631672,NaN,327869.106382979,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2937641",1559631673,NaN,328341,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2937642",1559631674,NaN,327151,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2937643",1559631675,NaN,327155,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6765.09199144266
"2937647",1559631679,49784.23,328339.171428571,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2937648",1559631680,NaN,327181,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2937649",1559631681,NaN,328341.03125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2937650",1559631682,NaN,328340.650793651,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2937651",1559631683,NaN,327252,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2937652",1559631684,NaN,327275,NaN,NaN,36530,NaN,NaN,NaN,NaN,NaN
"2937653",1559631685,NaN,327275,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2937654",1559631686,NaN,327275,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2937655",1559631687,NaN,327299,NaN,NaN,36470,NaN,NaN,NaN,NaN,NaN
"2937656",1559631688,NaN,327299,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6770.03841196185
"2937658",1559631690,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6758
"2937659",1559631691,NaN,328337,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2937660",1559631692,NaN,NaN,NaN,NaN,NaN,20061,NaN,16950,NaN,NaN
"2937661",1559631693,NaN,328337,NaN,NaN,NaN,NaN,NaN,16950,NaN,NaN
"2937662",1559631694,NaN,328337,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6752
"2937663",1559631695,NaN,327525,NaN,NaN,NaN,20061,NaN,NaN,NaN,NaN
"2937664",1559631696,NaN,327972.631477927,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2937665",1559631697,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17000,NaN,NaN
"2937666",1559631698,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6759.06691449814
"2937667",1559631699,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16864,NaN,NaN
"2937668",1559631700,NaN,328340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2937669",1559631701,NaN,NaN,34850,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2937671",1559631703,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17004,NaN,6748
"2937672",1559631704,49825.48,328093.223350254,NaN,NaN,36492.238700565,20055.79199698,NaN,NaN,NaN,6750.64801681114
"2937673",1559631705,NaN,328340,34800,NaN,NaN,NaN,NaN,17072.0453879941,NaN,NaN
