"","Date","BTI","NPN","AGL","MNP","SOL","SBK","NED","ABG","SHP","FSR"
"4233581",1560927613,NaN,NaN,NaN,NaN,NaN,20102.957,NaN,NaN,NaN,NaN
"4233583",1560927615,51207.8776334643,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4233584",1560927616,51149.0608145065,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4233594",1560927626,51168.9263113772,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4233600",1560927632,NaN,NaN,NaN,NaN,NaN,20127,NaN,NaN,NaN,NaN
"4233604",1560927636,NaN,NaN,NaN,NaN,NaN,20127,NaN,NaN,NaN,NaN
"4233609",1560927641,NaN,NaN,NaN,NaN,36073.0026246719,NaN,26145.7682926829,NaN,NaN,NaN
"4233613",1560927645,NaN,NaN,NaN,NaN,36189,NaN,NaN,NaN,NaN,NaN
"4233616",1560927648,NaN,NaN,NaN,NaN,36189,NaN,NaN,NaN,NaN,NaN
"4233617",1560927649,NaN,357555.186440678,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4233618",1560927650,NaN,357001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4233619",1560927651,NaN,357000.838383838,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4233620",1560927652,NaN,357000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4233621",1560927653,NaN,356795,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4233622",1560927654,NaN,356795,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6886
"4233623",1560927655,NaN,356795,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4233624",1560927656,NaN,357602.605263158,NaN,NaN,NaN,NaN,NaN,NaN,17201,NaN
"4233625",1560927657,NaN,355845.453947368,NaN,NaN,NaN,NaN,NaN,NaN,17186.0179775281,NaN
"4233626",1560927658,NaN,355500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6864
"4233627",1560927659,NaN,355500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4233628",1560927660,NaN,356033,NaN,NaN,NaN,20127,NaN,NaN,17200,NaN
"4233629",1560927661,NaN,356012.294117647,NaN,NaN,NaN,20142.3333333333,NaN,NaN,NaN,NaN
"4233630",1560927662,50761.92,355700,NaN,NaN,NaN,20178.212541763,NaN,NaN,NaN,NaN
"4233631",1560927663,NaN,NaN,NaN,NaN,NaN,20204.6153846154,NaN,NaN,17201,NaN
"4233632",1560927664,NaN,356367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4233633",1560927665,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17112,NaN
"4233634",1560927666,NaN,356276.357142857,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4233637",1560927669,NaN,NaN,NaN,NaN,NaN,NaN,26263,NaN,NaN,NaN
"4233638",1560927670,NaN,356504.476489028,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4233643",1560927675,NaN,NaN,NaN,NaN,36074,NaN,NaN,NaN,NaN,NaN
"4233644",1560927676,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17200.5735607676,NaN
"4233647",1560927679,NaN,357859,NaN,NaN,NaN,NaN,NaN,17563.7260606061,NaN,NaN
"4233651",1560927683,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17201,NaN
"4233654",1560927686,NaN,NaN,NaN,NaN,36188,NaN,NaN,NaN,NaN,NaN
"4233660",1560927692,NaN,357358,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4233661",1560927693,NaN,356501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4233663",1560927695,NaN,NaN,NaN,NaN,36150,NaN,NaN,NaN,NaN,NaN
"4233664",1560927696,NaN,356800,NaN,NaN,36114.2574487896,NaN,NaN,NaN,NaN,NaN
"4233665",1560927697,NaN,356865.897260274,NaN,NaN,36100,NaN,NaN,NaN,NaN,NaN
"4233667",1560927699,NaN,356506,NaN,NaN,NaN,NaN,NaN,NaN,17261,NaN
"4233668",1560927700,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17204,NaN
"4233670",1560927702,NaN,NaN,NaN,NaN,36080.3738317757,NaN,NaN,NaN,NaN,NaN
"4233671",1560927703,NaN,NaN,NaN,NaN,36064.1904761905,NaN,NaN,NaN,NaN,NaN
