"","Date","BTI","NPN","AGL","MNP","SOL","SBK","NED","ABG","SHP","FSR"
"3023984",1559718016,NaN,NaN,NaN,NaN,NaN,NaN,25586,NaN,NaN,NaN
"3023988",1559718020,NaN,NaN,NaN,31320.1812688822,NaN,NaN,NaN,NaN,NaN,NaN
"3023989",1559718021,NaN,NaN,NaN,31314.9389830508,NaN,NaN,NaN,NaN,NaN,NaN
"3023992",1559718024,NaN,NaN,NaN,31243,NaN,NaN,NaN,NaN,NaN,NaN
"3023994",1559718026,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16620,NaN
"3023995",1559718027,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16620,NaN
"3024004",1559718036,NaN,NaN,NaN,NaN,NaN,NaN,25501,NaN,NaN,NaN
"3024006",1559718038,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6540
"3024007",1559718039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16641,NaN
"3024008",1559718040,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6540
"3024010",1559718042,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16631,NaN,6543
"3024013",1559718045,NaN,NaN,NaN,31213,NaN,NaN,NaN,NaN,NaN,NaN
"3024014",1559718046,NaN,NaN,NaN,31211,NaN,NaN,NaN,NaN,NaN,NaN
"3024015",1559718047,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6543
"3024016",1559718048,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16564.833460076,NaN,NaN
"3024017",1559718049,NaN,NaN,NaN,NaN,NaN,19312.489626556,NaN,NaN,NaN,NaN
"3024022",1559718054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16536.0570570571,16560,NaN
"3024023",1559718055,NaN,NaN,NaN,NaN,NaN,NaN,25501,16456,NaN,NaN
"3024025",1559718057,NaN,339298.456616052,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3024034",1559718066,52163.47,NaN,NaN,NaN,NaN,NaN,25544.881300813,NaN,NaN,NaN
"3024035",1559718067,52157.58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3024036",1559718068,NaN,NaN,36399,NaN,37310,19300,NaN,16500,NaN,6542.96859421735
"3024037",1559718069,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6549.76347906689
"3024038",1559718070,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6560
"3024043",1559718075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16500,NaN,NaN
"3024046",1559718078,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16500,NaN,NaN
"3024047",1559718079,NaN,NaN,NaN,NaN,NaN,19311.0711237553,25502.3533568905,16500,NaN,NaN
"3024048",1559718080,NaN,339103.773620206,NaN,NaN,NaN,NaN,NaN,16500,NaN,NaN
"3024049",1559718081,NaN,337327,NaN,NaN,NaN,NaN,25503.786501985,16504.9897161662,NaN,NaN
"3024050",1559718082,NaN,337326,NaN,NaN,NaN,NaN,25517.0652741514,NaN,NaN,NaN
"3024051",1559718083,NaN,337325,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3024052",1559718084,NaN,337325,NaN,NaN,NaN,NaN,NaN,16503.7131931166,NaN,NaN
"3024061",1559718093,NaN,NaN,NaN,NaN,NaN,NaN,25512,NaN,NaN,NaN
"3024062",1559718094,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16559,NaN
"3024065",1559718097,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16526,NaN
"3024069",1559718101,NaN,338500,NaN,NaN,NaN,NaN,25512,NaN,NaN,NaN
"3024070",1559718102,NaN,338500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
