"","Date","BTI","NPN","AGL","MNP","SOL","SBK","NED","ABG","SHP","FSR"
"2332769",1559026801,NaN,NaN,35882.201147991,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2332770",1559026802,NaN,NaN,NaN,31052.2875,NaN,NaN,NaN,NaN,NaN,NaN
"2332772",1559026804,NaN,NaN,35906,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2332773",1559026805,NaN,NaN,35900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2332780",1559026812,NaN,NaN,35899,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2332781",1559026813,53845.6229212363,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2332785",1559026817,53829.82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2332788",1559026820,NaN,NaN,35898,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2332790",1559026822,NaN,NaN,35900.5025125628,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2332791",1559026823,NaN,317122.334821429,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2332793",1559026825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16599,NaN
"2332795",1559026827,53884.56,NaN,NaN,NaN,35681.3003731343,NaN,NaN,NaN,NaN,NaN
"2332796",1559026828,53930.6578289474,NaN,NaN,31097,35651,NaN,24816,NaN,NaN,NaN
"2332797",1559026829,NaN,NaN,35910,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2332798",1559026830,NaN,317122,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2332799",1559026831,53912.3,NaN,NaN,NaN,NaN,NaN,24992,NaN,NaN,NaN
"2332800",1559026832,NaN,317100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2332801",1559026833,NaN,317810.719449225,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2332802",1559026834,NaN,317711.075297226,35983.4599483204,NaN,NaN,NaN,NaN,NaN,16455,NaN
"2332803",1559026835,NaN,NaN,NaN,NaN,35680,NaN,NaN,NaN,NaN,NaN
"2332804",1559026836,NaN,NaN,NaN,NaN,35723,NaN,NaN,NaN,NaN,NaN
"2332805",1559026837,NaN,NaN,35989.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2332806",1559026838,NaN,NaN,35990,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2332807",1559026839,NaN,NaN,35990,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2332808",1559026840,53929.97,NaN,35990,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2332809",1559026841,NaN,NaN,35998.9495548961,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2332810",1559026842,NaN,317818.309433962,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2332811",1559026843,NaN,NaN,35996,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2332812",1559026844,NaN,317805.464285714,35990,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2332813",1559026845,NaN,NaN,35990,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2332815",1559026847,NaN,317812,36014,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2332816",1559026848,NaN,317812,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2332818",1559026850,NaN,NaN,36006.9895833333,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2332819",1559026851,NaN,317811.765625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2332822",1559026854,53880.484,317812,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2332826",1559026858,NaN,NaN,NaN,NaN,35780,NaN,NaN,NaN,NaN,NaN
"2332827",1559026859,53820,NaN,36000,NaN,NaN,NaN,NaN,16102.5106382979,NaN,6411
"2332828",1559026860,53823.6825,317204,36000,31088.6666666667,35651,19216.6666666667,24899.1217712177,16110,16425,6412
