"","Date","BTI","NPN","AGL","MNP","SOL","SBK","NED","ABG","SHP","FSR"
"3110371",1559804403,NaN,NaN,36160.6753246753,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3110382",1559804414,52392.26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3110392",1559804424,NaN,NaN,36159,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3110393",1559804425,NaN,NaN,36169.3275529865,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3110396",1559804428,NaN,NaN,36217.7520661157,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3110397",1559804429,NaN,NaN,36220,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3110398",1559804430,NaN,NaN,36220,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3110400",1559804432,NaN,NaN,36220,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3110401",1559804433,NaN,NaN,36241.1460176991,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3110409",1559804441,NaN,337027.095238095,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3110412",1559804444,NaN,NaN,NaN,NaN,37313,NaN,NaN,NaN,NaN,6553
"3110413",1559804445,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6534.53396666667
"3110414",1559804446,NaN,337065.472972973,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3110415",1559804447,NaN,336611,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3110416",1559804448,NaN,336610.378440367,NaN,NaN,NaN,19207,NaN,NaN,NaN,NaN
"3110417",1559804449,NaN,336616,NaN,NaN,37278,NaN,NaN,NaN,NaN,6524.51032132157
"3110418",1559804450,NaN,336614.439306358,NaN,NaN,NaN,19335,NaN,NaN,NaN,6524.74553006129
"3110419",1559804451,NaN,336780.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6521
"3110420",1559804452,NaN,NaN,NaN,31817,NaN,NaN,NaN,NaN,NaN,6522.77013611708
"3110421",1559804453,NaN,336606.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6525
"3110422",1559804454,NaN,NaN,36299.5875077304,NaN,NaN,NaN,NaN,NaN,NaN,6525
"3110423",1559804455,NaN,336592.545689655,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6524.65072400176
"3110426",1559804458,NaN,335940.067961165,NaN,NaN,37333.6240070609,NaN,NaN,NaN,NaN,6524.86822994138
"3110427",1559804459,NaN,336381.400921659,36306,31872,NaN,19334,NaN,NaN,NaN,6535
"3110428",1559804460,NaN,336694.988764045,NaN,31871,NaN,NaN,NaN,NaN,NaN,6532.28861788618
"3110429",1559804461,NaN,336290.84962406,NaN,NaN,37365,NaN,NaN,NaN,NaN,NaN
"3110431",1559804463,NaN,336610,NaN,31872,37349.1717791411,NaN,NaN,NaN,NaN,6530.42047317873
"3110432",1559804464,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6527
"3110433",1559804465,NaN,335500,NaN,31872,37490,NaN,NaN,NaN,NaN,NaN
"3110434",1559804466,NaN,335889,NaN,31872,NaN,NaN,NaN,NaN,NaN,6535
"3110435",1559804467,NaN,335501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6528
"3110436",1559804468,NaN,NaN,36254,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3110437",1559804469,52899.92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3110438",1559804470,NaN,336378.475465313,NaN,NaN,37251,NaN,NaN,NaN,NaN,NaN
"3110439",1559804471,NaN,336699.388235294,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6530
"3110440",1559804472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6539
"3110443",1559804475,NaN,336149.96803653,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6539
"3110444",1559804476,NaN,335701,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3110445",1559804477,NaN,335842,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6540
"3110446",1559804478,NaN,335772,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3110447",1559804479,NaN,335780,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6537
"3110448",1559804480,NaN,336400.071322437,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6539.0285603264
"3110449",1559804481,NaN,336022.388571429,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6539
"3110450",1559804482,NaN,336587,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3110452",1559804484,NaN,336673,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3110453",1559804485,NaN,NaN,NaN,31802,NaN,19234.0576131687,NaN,NaN,NaN,NaN
"3110455",1559804487,NaN,336615,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3110456",1559804488,NaN,336615,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3110457",1559804489,NaN,336095,NaN,NaN,NaN,19336,NaN,NaN,NaN,NaN
"3110458",1559804490,NaN,336685,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3110459",1559804491,NaN,336690,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3110460",1559804492,NaN,336300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3110461",1559804493,NaN,336695.69072165,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3110462",1559804494,NaN,336695.832402235,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6538.59010801592
"3110464",1559804496,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6540
"3110465",1559804497,NaN,336721,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3110466",1559804498,NaN,336551.315068493,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3110467",1559804499,NaN,336727,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6540
"3110468",1559804500,NaN,336733,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
