"","Date","BTI","NPN","AGL","MNP","SOL","SBK","NED","ABG","SHP","FSR"
"2851171",1559545203,49196.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2851189",1559545221,NaN,NaN,NaN,NaN,NaN,NaN,26207.5833333333,NaN,NaN,NaN
"2851195",1559545227,49563.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2851196",1559545228,49686.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2851204",1559545236,NaN,NaN,NaN,NaN,36943,NaN,NaN,NaN,NaN,NaN
"2851205",1559545237,NaN,NaN,NaN,NaN,NaN,19924,NaN,NaN,NaN,NaN
"2851207",1559545239,NaN,333000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2851208",1559545240,NaN,NaN,NaN,NaN,NaN,19930.9640052356,NaN,NaN,NaN,NaN
"2851210",1559545242,NaN,NaN,NaN,NaN,NaN,19920,NaN,NaN,NaN,NaN
"2851211",1559545243,NaN,NaN,NaN,NaN,NaN,19920,NaN,NaN,NaN,NaN
"2851213",1559545245,NaN,NaN,NaN,NaN,NaN,19916.4813397129,NaN,NaN,NaN,NaN
"2851214",1559545246,NaN,333307.5625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2851215",1559545247,NaN,NaN,NaN,NaN,NaN,19915,NaN,NaN,NaN,NaN
"2851216",1559545248,NaN,332636.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2851217",1559545249,NaN,333706,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2851222",1559545254,NaN,332000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2851225",1559545257,NaN,332011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2851226",1559545258,NaN,333706,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2851227",1559545259,NaN,332465.747474747,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
