"","Date","BTI","NPN","AGL","MNP","SOL","SBK","NED","ABG","SHP","FSR"
"2505574",1559199606,51552.14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2505576",1559199608,NaN,NaN,35583,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2505577",1559199609,51521.28,NaN,35575.7393715342,NaN,NaN,NaN,NaN,NaN,16404.1020408163,NaN
"2505578",1559199610,NaN,NaN,35534.9928707224,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2505589",1559199621,51600.82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2505590",1559199622,51340.5889121339,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2505592",1559199624,NaN,NaN,35503,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2505600",1559199632,NaN,NaN,35512,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2505601",1559199633,NaN,NaN,35575.5,NaN,NaN,NaN,NaN,NaN,16496,NaN
"2505604",1559199636,NaN,322708.956967213,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2505605",1559199637,NaN,322567.3605547,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2505606",1559199638,NaN,322230.223880597,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2505608",1559199640,NaN,321908.445440957,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2505609",1559199641,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16413,NaN,NaN
"2505610",1559199642,NaN,322000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2505611",1559199643,NaN,NaN,NaN,NaN,36999,NaN,NaN,NaN,NaN,NaN
"2505614",1559199646,NaN,322072.936575053,NaN,NaN,36998,NaN,NaN,NaN,NaN,NaN
"2505615",1559199647,NaN,322159.247311828,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2505616",1559199648,NaN,322203.048309179,NaN,NaN,36790,NaN,NaN,NaN,NaN,NaN
"2505617",1559199649,NaN,322523.011450382,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2505618",1559199650,NaN,322678.72,35586,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2505619",1559199651,NaN,322000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2505620",1559199652,NaN,322042.857142857,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2505621",1559199653,NaN,322295.293478261,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2505622",1559199654,NaN,NaN,NaN,30818.0820451843,NaN,NaN,NaN,NaN,NaN,6474.65161586065
"2505623",1559199655,NaN,322000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2505624",1559199656,NaN,NaN,NaN,30800,NaN,NaN,NaN,NaN,NaN,NaN
"2505625",1559199657,NaN,322299.647406435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6474
"2505627",1559199659,NaN,322300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6471.90900098912
"2505628",1559199660,NaN,NaN,35573,NaN,NaN,19655.4061538462,NaN,NaN,NaN,6475
"2505629",1559199661,NaN,NaN,NaN,NaN,NaN,19657,NaN,NaN,NaN,NaN
"2505630",1559199662,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6475
"2505631",1559199663,NaN,322303,35577,NaN,NaN,19656,NaN,NaN,NaN,NaN
