"","Date","BTI","NPN","AGL","MNP","SOL","SBK","NED","ABG","SHP","FSR"
"3628786",1560322818,NaN,NaN,NaN,31955,NaN,NaN,NaN,NaN,NaN,NaN
"3628791",1560322823,NaN,NaN,38303,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3628801",1560322833,55947.3475862069,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3628803",1560322835,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16776,NaN
"3628805",1560322837,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16896.0731707317,NaN
"3628806",1560322838,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16896.0487804878,NaN
"3628808",1560322840,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16896.0487804878,NaN
"3628809",1560322841,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16899,NaN
"3628810",1560322842,55970.44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16896.0975609756,NaN
"3628811",1560322843,NaN,343967.229249012,NaN,NaN,NaN,NaN,NaN,NaN,16900,NaN
"3628812",1560322844,NaN,343618,NaN,NaN,NaN,NaN,NaN,NaN,16859.6363636364,NaN
"3628817",1560322849,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16876.6341463415,NaN
"3628818",1560322850,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16879,NaN
"3628819",1560322851,NaN,343782.74916388,NaN,NaN,NaN,NaN,NaN,17210,NaN,NaN
"3628820",1560322852,NaN,343736.230769231,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3628822",1560322854,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17211,16919.5102040816,NaN
"3628825",1560322857,55970.44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3628826",1560322858,NaN,344000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3628828",1560322860,56108.89,344174.002915452,38389,31839.7,37700,19996.25,26336,17328,16985,6885.25
"3628833",1560322865,NaN,344348,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3628836",1560322868,NaN,NaN,NaN,NaN,37636.0009643202,NaN,NaN,NaN,NaN,NaN
"3628837",1560322869,55866.9427795527,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3628838",1560322870,NaN,NaN,NaN,NaN,37600,NaN,NaN,NaN,NaN,NaN
"3628839",1560322871,NaN,NaN,NaN,NaN,37699,NaN,NaN,NaN,NaN,NaN
"3628844",1560322876,NaN,344001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3628849",1560322881,55681.75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3628850",1560322882,NaN,NaN,NaN,NaN,37600,NaN,NaN,NaN,NaN,NaN
"3628852",1560322884,NaN,NaN,NaN,NaN,NaN,NaN,25893,NaN,NaN,NaN
"3628855",1560322887,NaN,NaN,NaN,NaN,37600,NaN,NaN,NaN,NaN,NaN
"3628856",1560322888,NaN,344436.993006993,NaN,NaN,37600,19944,NaN,NaN,NaN,NaN
"3628857",1560322889,NaN,NaN,NaN,NaN,37633.1840642372,19934.6775725594,NaN,NaN,NaN,6822
"3628858",1560322890,NaN,NaN,NaN,NaN,37651.0739081747,19943,NaN,NaN,NaN,NaN
"3628859",1560322891,NaN,344425,NaN,NaN,37600,19901.6056034483,NaN,NaN,NaN,NaN
"3628860",1560322892,NaN,344002.454545455,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3628861",1560322893,NaN,344000.818181818,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3628862",1560322894,NaN,NaN,NaN,NaN,37605.3210290828,19921,NaN,NaN,NaN,NaN
"3628864",1560322896,NaN,NaN,NaN,NaN,37547.0626506024,NaN,NaN,NaN,NaN,NaN
"3628865",1560322897,NaN,NaN,NaN,31852,NaN,NaN,NaN,NaN,NaN,NaN
"3628869",1560322901,NaN,343651,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3628871",1560322903,NaN,NaN,NaN,NaN,37513.4929577465,NaN,NaN,NaN,NaN,NaN
"3628872",1560322904,NaN,343651.568181818,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3628874",1560322906,NaN,NaN,NaN,31848,NaN,NaN,NaN,NaN,NaN,NaN
