"","Date","BTI","NPN","AGL","MNP","SOL","SBK","NED","ABG","SHP","FSR"
"431986",1557126018,53171.92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"432002",1557126034,53174.86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"432003",1557126035,NaN,359883.715105163,NaN,NaN,45002,20299,NaN,NaN,NaN,NaN
"432004",1557126036,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17621,NaN
"432010",1557126042,NaN,359484.108108108,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6819
"432013",1557126045,NaN,359734,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"432017",1557126049,NaN,359468.327137546,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"432018",1557126050,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6780
"432023",1557126055,NaN,NaN,36616.5738823529,NaN,NaN,NaN,NaN,NaN,17747,NaN
"432024",1557126056,NaN,NaN,36550,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"432025",1557126057,NaN,NaN,36501,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"432028",1557126060,NaN,NaN,NaN,NaN,NaN,20299,NaN,NaN,17720,NaN
"432031",1557126063,NaN,359432.852116548,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"432032",1557126064,NaN,359235.741573034,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"432041",1557126073,NaN,359892.24137931,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"432042",1557126074,NaN,359215,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"432043",1557126075,NaN,NaN,NaN,NaN,45005,NaN,NaN,NaN,NaN,NaN
"432054",1557126086,NaN,359511,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"432057",1557126089,NaN,359684.951588502,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"432059",1557126091,NaN,359837,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"432061",1557126093,53679.58,359837,36789,32187,45486.6666666667,20298,27549,16987,17746,6814.68421052632
"432062",1557126094,NaN,NaN,NaN,NaN,NaN,20298,NaN,NaN,NaN,NaN
"432064",1557126096,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6814
"432065",1557126097,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16979,NaN,NaN
"432066",1557126098,NaN,NaN,36787,NaN,45472,20299.9940179462,NaN,16982.1000532198,NaN,6813
"432067",1557126099,NaN,NaN,NaN,NaN,NaN,20300,NaN,NaN,NaN,6813
"432068",1557126100,NaN,359612,NaN,NaN,NaN,20300,NaN,16979,NaN,6812
"432069",1557126101,NaN,359612,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"432070",1557126102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6812
"432074",1557126106,NaN,359611,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"432080",1557126112,NaN,NaN,NaN,NaN,NaN,20242,NaN,NaN,NaN,NaN
"432082",1557126114,NaN,NaN,NaN,NaN,45011,NaN,NaN,NaN,NaN,6814
"432089",1557126121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6827.10983333333
"432090",1557126122,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6830
"432095",1557126127,NaN,359239.169948942,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"432096",1557126128,NaN,359454.618937644,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"432101",1557126133,NaN,358301,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"432102",1557126134,NaN,NaN,NaN,NaN,45012,NaN,NaN,NaN,NaN,NaN
"432103",1557126135,NaN,358618.76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6830
"432104",1557126136,NaN,358825.224,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6830.03454478708
"432105",1557126137,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6830.02917671374
"432106",1557126138,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6830
"432107",1557126139,NaN,358884,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"432108",1557126140,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6830
"432109",1557126141,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6830
"432110",1557126142,NaN,358884,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"432114",1557126146,NaN,358301.468,NaN,NaN,45013,NaN,NaN,NaN,NaN,NaN
"432116",1557126148,NaN,NaN,NaN,NaN,NaN,20242,NaN,NaN,NaN,NaN
"432119",1557126151,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6829.73448862757
"432120",1557126152,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6830
"432123",1557126155,NaN,358604.233128834,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"432129",1557126161,NaN,358782,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"432130",1557126162,NaN,358782,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"432133",1557126165,53173.88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"432135",1557126167,NaN,NaN,NaN,NaN,NaN,NaN,27366,NaN,NaN,NaN
"432137",1557126169,NaN,NaN,NaN,NaN,NaN,20340,NaN,NaN,NaN,NaN
