"","Date","BTI","NPN","AGL","MNP","SOL","SBK","NED","ABG","SHP","FSR"
"1814369",1558508401,NaN,NaN,35545.871559633,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1814382",1558508414,NaN,NaN,NaN,NaN,NaN,NaN,25633.3127777778,NaN,NaN,NaN
"1814383",1558508415,NaN,NaN,NaN,30734.7380836576,NaN,NaN,25631.0723847298,NaN,NaN,NaN
"1814387",1558508419,NaN,NaN,NaN,NaN,NaN,NaN,25749.3813559322,NaN,NaN,NaN
"1814389",1558508421,NaN,NaN,NaN,NaN,NaN,NaN,25770.6844106464,NaN,NaN,NaN
"1814394",1558508426,NaN,NaN,NaN,30783,NaN,NaN,NaN,NaN,NaN,NaN
"1814397",1558508429,NaN,NaN,NaN,30794,NaN,NaN,NaN,NaN,NaN,NaN
"1814399",1558508431,NaN,NaN,NaN,30804,NaN,NaN,NaN,NaN,NaN,NaN
"1814400",1558508432,NaN,320562.441750842,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1814403",1558508435,NaN,320397.28358209,NaN,30805,NaN,NaN,NaN,NaN,NaN,NaN
"1814404",1558508436,NaN,NaN,NaN,NaN,NaN,NaN,25809,NaN,NaN,NaN
"1814405",1558508437,NaN,320020.898648649,NaN,30839,NaN,NaN,NaN,NaN,NaN,NaN
"1814406",1558508438,NaN,320390.968992248,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1814408",1558508440,NaN,NaN,NaN,30839,NaN,NaN,NaN,NaN,NaN,NaN
"1814411",1558508443,NaN,319672,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1814416",1558508448,NaN,320900,NaN,30898,NaN,NaN,NaN,NaN,NaN,NaN
"1814417",1558508449,NaN,NaN,NaN,NaN,NaN,NaN,26069,NaN,NaN,NaN
"1814418",1558508450,NaN,321269,NaN,30830,NaN,NaN,NaN,NaN,NaN,NaN
"1814421",1558508453,NaN,320489.413793103,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1814423",1558508455,NaN,320318,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1814424",1558508456,NaN,NaN,NaN,30924.7619047619,NaN,NaN,NaN,NaN,NaN,NaN
"1814425",1558508457,NaN,320211,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1814427",1558508459,NaN,NaN,NaN,30952,NaN,NaN,NaN,NaN,NaN,NaN
"1814428",1558508460,NaN,NaN,NaN,NaN,NaN,NaN,25788,NaN,NaN,NaN
"1814430",1558508462,NaN,NaN,NaN,30950,NaN,NaN,NaN,16271,NaN,NaN
"1814438",1558508470,NaN,NaN,NaN,NaN,NaN,NaN,25997,NaN,NaN,NaN
"1814439",1558508471,NaN,NaN,NaN,30950,NaN,NaN,NaN,NaN,NaN,NaN
"1814442",1558508474,NaN,319819.627659574,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1814443",1558508475,NaN,320708.671232877,NaN,NaN,NaN,NaN,NaN,16273,NaN,NaN
"1814444",1558508476,NaN,320708,NaN,NaN,NaN,NaN,25852.747311828,NaN,NaN,NaN
