"","Date","BTI","NPN","AGL","MNP","SOL","SBK","NED","ABG","SHP","FSR"
"345583",1561618815,49873.3174603175,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"345596",1561618828,NaN,NaN,NaN,NaN,35325,NaN,NaN,NaN,NaN,NaN
"345609",1561618841,NaN,343903.667068758,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"345610",1561618842,NaN,343507.011527378,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"345611",1561618843,NaN,343500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"345612",1561618844,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16113.6666666667,NaN
"345617",1561618849,NaN,343600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"345618",1561618850,NaN,343500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"345619",1561618851,NaN,343500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"345620",1561618852,NaN,343500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"345621",1561618853,NaN,343500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"345628",1561618860,50145.8,343861,39900,32128.1596638655,35377.8115942029,20194.2571428571,25799.2,18000,16316.3333333333,7013.6
"345629",1561618861,50148,343522.666666667,39900,NaN,35369.6666666667,20195.4408163265,25799,18000,16315,7014
"345630",1561618862,NaN,NaN,39900,32156,NaN,NaN,NaN,18000,NaN,NaN
"345632",1561618864,NaN,343896,NaN,NaN,35366.3695652174,20200.7159892918,25799,18000,16314,7014.94997886431
"345633",1561618865,NaN,NaN,NaN,NaN,35300,20400,NaN,NaN,NaN,7020
"345634",1561618866,NaN,NaN,NaN,NaN,NaN,NaN,25799,18004.6526867628,NaN,NaN
"345635",1561618867,NaN,343898.047619048,NaN,NaN,35309.5588673621,NaN,25799,18010.1632124352,16314,7020
"345637",1561618869,NaN,NaN,39900,NaN,NaN,NaN,NaN,NaN,NaN,7020
"345638",1561618870,NaN,343100,39900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"345639",1561618871,NaN,343100.45,39907,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"345640",1561618872,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7015
"345645",1561618877,NaN,NaN,39900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"345649",1561618881,NaN,343060.944444444,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"345653",1561618885,NaN,343803.519685039,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"345660",1561618892,50148,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"345664",1561618896,NaN,NaN,39900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"345666",1561618898,NaN,342805.924242424,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"345667",1561618899,NaN,342955.849056604,39912,NaN,NaN,NaN,NaN,NaN,NaN,7019.25318635894
"345668",1561618900,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7021.41299638989
"345669",1561618901,NaN,NaN,NaN,NaN,NaN,NaN,25551.4504504505,NaN,NaN,7020
"345670",1561618902,50179,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7020
"345672",1561618904,NaN,NaN,NaN,32135,NaN,NaN,NaN,NaN,NaN,NaN
"345673",1561618905,NaN,342987.349875931,39925,NaN,NaN,NaN,NaN,NaN,NaN,7025
"345674",1561618906,NaN,343100,39925,NaN,NaN,NaN,NaN,NaN,NaN,7025
"345675",1561618907,NaN,343285.539325843,NaN,32134,35360.0794701987,NaN,NaN,NaN,NaN,7024
"345676",1561618908,50145,342864.609053498,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7024.79571428571
"345677",1561618909,NaN,342700,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7020.89467592593
"345678",1561618910,50145,342700,NaN,32134,NaN,NaN,NaN,NaN,NaN,NaN
"345679",1561618911,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7019
"345680",1561618912,50145.352,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7019
"345681",1561618913,NaN,NaN,39926,32134,NaN,NaN,NaN,NaN,NaN,7023.97321428571
"345682",1561618914,NaN,NaN,39903,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"345683",1561618915,NaN,NaN,39904,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"345684",1561618916,NaN,NaN,NaN,32134,35365,NaN,NaN,NaN,NaN,NaN
"345685",1561618917,NaN,NaN,NaN,NaN,NaN,NaN,25601,NaN,NaN,NaN
"345686",1561618918,NaN,NaN,NaN,NaN,NaN,NaN,25601,NaN,NaN,NaN
"345687",1561618919,NaN,343178.390728477,NaN,32236,NaN,NaN,25601,NaN,NaN,NaN
"345688",1561618920,NaN,342700,NaN,NaN,35350,NaN,NaN,NaN,NaN,7024
"345690",1561618922,NaN,NaN,NaN,NaN,35365,NaN,25601,NaN,NaN,7024.84521384929
"345691",1561618923,NaN,NaN,NaN,NaN,35365,NaN,25512,NaN,NaN,NaN
"345692",1561618924,NaN,343086,NaN,NaN,NaN,NaN,25511,NaN,NaN,NaN
"345696",1561618928,NaN,342210,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"345697",1561618929,NaN,342210,39906.1922428331,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"345698",1561618930,NaN,342200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"345700",1561618932,NaN,NaN,NaN,NaN,NaN,NaN,25510,NaN,NaN,NaN
"345701",1561618933,NaN,NaN,NaN,NaN,35380,NaN,NaN,18008.854,NaN,NaN
"345702",1561618934,NaN,342870,NaN,NaN,35365,NaN,NaN,NaN,NaN,NaN
"345703",1561618935,NaN,342793,39875.4495192308,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"345704",1561618936,NaN,NaN,39898.7824797844,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"345705",1561618937,NaN,NaN,39900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"345706",1561618938,NaN,NaN,39900,NaN,NaN,NaN,NaN,NaN,NaN,NaN
