"","Date","BTI","NPN","AGL","MNP","SOL","SBK","NED","ABG","SHP","FSR"
"3455978",1560150010,NaN,NaN,NaN,NaN,NaN,NaN,25895.4072164948,NaN,NaN,NaN
"3455980",1560150012,NaN,NaN,37701,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3455983",1560150015,NaN,NaN,37702,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3455985",1560150017,NaN,NaN,37701,NaN,38006.7442273535,NaN,NaN,NaN,NaN,NaN
"3455986",1560150018,NaN,NaN,NaN,NaN,38016,NaN,NaN,NaN,NaN,NaN
"3455989",1560150021,NaN,NaN,NaN,NaN,38006.0340846619,NaN,NaN,NaN,NaN,NaN
"3455990",1560150022,NaN,NaN,NaN,NaN,38026.604519774,NaN,NaN,NaN,NaN,NaN
"3455991",1560150023,NaN,NaN,NaN,NaN,37947,NaN,25867,NaN,NaN,6700
"3455992",1560150024,NaN,NaN,NaN,NaN,37945,NaN,NaN,NaN,NaN,NaN
"3455993",1560150025,NaN,NaN,NaN,NaN,37945,NaN,NaN,NaN,NaN,NaN
"3455994",1560150026,NaN,NaN,NaN,NaN,37943,NaN,NaN,NaN,NaN,6728
"3455995",1560150027,NaN,NaN,NaN,NaN,37940,NaN,NaN,NaN,NaN,NaN
"3455996",1560150028,NaN,NaN,NaN,NaN,37940,NaN,NaN,NaN,NaN,NaN
"3455998",1560150030,NaN,NaN,37751,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3456000",1560150032,NaN,NaN,NaN,NaN,37940,NaN,NaN,NaN,NaN,NaN
"3456001",1560150033,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16900,NaN
"3456012",1560150044,NaN,NaN,NaN,NaN,38014.0857142857,NaN,NaN,NaN,NaN,NaN
"3456013",1560150045,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6701.2222369996
"3456015",1560150047,NaN,352500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3456017",1560150049,NaN,NaN,NaN,NaN,38098,NaN,NaN,NaN,NaN,NaN
"3456018",1560150050,NaN,351503.342685371,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3456020",1560150052,56295.3133980583,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3456021",1560150053,NaN,NaN,NaN,NaN,NaN,19600.3757225434,NaN,NaN,NaN,NaN
"3456023",1560150055,NaN,352207.16605166,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3456026",1560150058,NaN,352500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3456027",1560150059,NaN,352506,NaN,31867.5446049278,NaN,NaN,NaN,NaN,NaN,NaN
"3456028",1560150060,NaN,352900,NaN,31869,NaN,NaN,NaN,NaN,NaN,NaN
"3456031",1560150063,NaN,352900,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3456032",1560150064,NaN,351516,37773.5035081858,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3456033",1560150065,NaN,351516,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3456042",1560150074,NaN,352849.849858357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3456043",1560150075,NaN,NaN,NaN,NaN,NaN,19699,NaN,NaN,NaN,NaN
"3456044",1560150076,NaN,351775.420157068,37768,NaN,NaN,19789,NaN,NaN,NaN,NaN
"3456045",1560150077,NaN,352436.2578125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3456049",1560150081,NaN,352852.127819549,NaN,NaN,NaN,NaN,25901,NaN,NaN,NaN
"3456050",1560150082,NaN,NaN,NaN,NaN,NaN,NaN,25996.124,NaN,NaN,NaN
"3456051",1560150083,NaN,NaN,37768,NaN,38097,NaN,NaN,NaN,NaN,NaN
"3456052",1560150084,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16950,NaN
"3456063",1560150095,NaN,352815.100990099,NaN,31885,38007,NaN,NaN,NaN,NaN,NaN
"3456064",1560150096,56223.78,352100.666666667,37700.75,NaN,38007,19603,25951,16829,16836,6691
"3456065",1560150097,56223.78,352839.765432099,37701,31885,NaN,19603,25951,16830,16836,6691
"3456067",1560150099,NaN,352850.745454545,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3456068",1560150100,NaN,352962.334134615,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3456069",1560150101,NaN,353004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3456071",1560150103,NaN,353599,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3456077",1560150109,NaN,353005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3456078",1560150110,NaN,353000.833333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3456082",1560150114,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16950,NaN
"3456085",1560150117,NaN,NaN,NaN,NaN,38098,NaN,NaN,NaN,NaN,NaN
"3456087",1560150119,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6701.15361354702
"3456088",1560150120,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6706
"3456090",1560150122,NaN,NaN,37765,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3456094",1560150126,NaN,353004.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6710.31541218638
"3456095",1560150127,NaN,352691.397923875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6726
"3456098",1560150130,NaN,NaN,NaN,NaN,38098,NaN,NaN,NaN,NaN,NaN
"3456104",1560150136,NaN,353002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3456106",1560150138,NaN,353002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3456108",1560150140,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6716.14043993232
"3456110",1560150142,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6719.55456989247
"3456118",1560150150,NaN,NaN,NaN,NaN,NaN,NaN,25963,NaN,NaN,NaN
"3456119",1560150151,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17077,NaN,NaN
"3456123",1560150155,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16849,NaN,NaN
"3456126",1560150158,NaN,352728,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3456130",1560150162,NaN,NaN,NaN,31993,NaN,NaN,NaN,NaN,NaN,NaN
"3456132",1560150164,NaN,352452,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3456133",1560150165,NaN,NaN,NaN,NaN,NaN,19605,NaN,NaN,NaN,NaN
"3456137",1560150169,NaN,353000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3456140",1560150172,NaN,NaN,NaN,NaN,38098,NaN,NaN,NaN,NaN,NaN
"3456149",1560150181,NaN,352440.011363636,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3456150",1560150182,NaN,352551.983713355,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3456156",1560150188,56337.68,352967,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3456164",1560150196,NaN,352280,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3456174",1560150206,NaN,NaN,37765,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3456175",1560150207,NaN,352130,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3456177",1560150209,NaN,352823,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3456179",1560150211,NaN,352275.143884892,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3456180",1560150212,NaN,352130,37701,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3456181",1560150213,NaN,352397.510204082,NaN,NaN,38100,NaN,NaN,NaN,NaN,NaN
"3456214",1560150246,NaN,NaN,37764,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3456215",1560150247,NaN,NaN,NaN,NaN,NaN,NaN,25981.6705882353,NaN,NaN,NaN
"3456216",1560150248,NaN,NaN,37764,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3456217",1560150249,NaN,NaN,37764,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3456218",1560150250,NaN,NaN,37764,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3456222",1560150254,NaN,NaN,NaN,NaN,NaN,NaN,26000,NaN,NaN,NaN
"3456223",1560150255,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6730
"3456227",1560150259,NaN,352395,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3456228",1560150260,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16900,NaN
"3456229",1560150261,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16900,NaN
"3456230",1560150262,NaN,NaN,NaN,NaN,38140,NaN,NaN,NaN,16946,NaN
"3456235",1560150267,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6716
"3456236",1560150268,NaN,352141.975609756,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3456237",1560150269,NaN,351901,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3456239",1560150271,NaN,NaN,NaN,NaN,NaN,NaN,25991.3448275862,NaN,NaN,6716
"3456241",1560150273,NaN,NaN,NaN,NaN,NaN,NaN,25995.842,NaN,NaN,NaN
"3456243",1560150275,NaN,NaN,37799.4712990937,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3456244",1560150276,NaN,NaN,37800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3456253",1560150285,NaN,NaN,37800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3456255",1560150287,56331.79,351918,NaN,31861,38055,19605,26000,16862,16854,6716
"3456256",1560150288,NaN,351901,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3456261",1560150293,NaN,351918,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3456273",1560150305,NaN,351610,NaN,NaN,NaN,19610,NaN,NaN,NaN,NaN
"3456276",1560150308,NaN,351561.370106762,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3456277",1560150309,NaN,351577.977761305,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3456278",1560150310,NaN,351543.821428571,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3456282",1560150314,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6716
"3456284",1560150316,NaN,351909,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3456287",1560150319,NaN,NaN,NaN,NaN,38132,NaN,NaN,NaN,NaN,NaN
"3456303",1560150335,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6727.37436868687
"3456304",1560150336,56336.7,351200,NaN,NaN,38045,19610,NaN,16866,16855,6722
"3456305",1560150337,NaN,NaN,NaN,31824,NaN,NaN,NaN,NaN,NaN,NaN
"3456307",1560150339,NaN,351200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3456308",1560150340,NaN,NaN,NaN,NaN,NaN,NaN,26021,NaN,NaN,NaN
"3456309",1560150341,NaN,NaN,37767,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3456312",1560150344,NaN,351442.404761905,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3456313",1560150345,NaN,351546,37742,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3456314",1560150346,56337.68,351201,NaN,NaN,38045,19632.9322033898,26037.5666666667,16894,16855,NaN
"3456315",1560150347,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6722
"3456316",1560150348,NaN,351201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3456318",1560150350,NaN,351201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3456319",1560150351,NaN,NaN,37765.1358124495,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3456320",1560150352,NaN,NaN,NaN,31824,NaN,NaN,NaN,NaN,NaN,NaN
"3456321",1560150353,NaN,NaN,NaN,NaN,NaN,19612,NaN,NaN,NaN,NaN
"3456322",1560150354,NaN,351508.745105873,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3456323",1560150355,56336.7,351378.013850416,NaN,31825,38105.7647058823,19612,26030,16907,16855,6723
"3456324",1560150356,NaN,NaN,NaN,31895,38122,NaN,NaN,NaN,16855,NaN
"3456326",1560150358,NaN,NaN,37742,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3456329",1560150361,NaN,351260.278994323,NaN,NaN,NaN,NaN,NaN,16976,NaN,NaN
"3456330",1560150362,NaN,NaN,NaN,NaN,NaN,NaN,26057,NaN,NaN,NaN
"3456331",1560150363,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16983,NaN,NaN
"3456333",1560150365,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6736
"3456335",1560150367,NaN,NaN,NaN,31894,NaN,NaN,NaN,NaN,NaN,NaN
"3456341",1560150373,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16983,NaN,NaN
"3456343",1560150375,NaN,351000.184754522,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3456348",1560150380,NaN,NaN,37742,NaN,NaN,19658,NaN,NaN,NaN,NaN
"3456352",1560150384,56336.7,NaN,NaN,NaN,NaN,19612,NaN,NaN,NaN,NaN
"3456353",1560150385,NaN,351493,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3456354",1560150386,NaN,351493,37793.332,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3456355",1560150387,NaN,NaN,37799.2016666667,31896,NaN,NaN,26084,NaN,NaN,NaN
"3456356",1560150388,NaN,NaN,37800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3456360",1560150392,56335.8079778831,NaN,NaN,31900,NaN,NaN,NaN,NaN,NaN,NaN
"3456361",1560150393,NaN,NaN,NaN,31931,NaN,NaN,26095,NaN,NaN,NaN
"3456362",1560150394,NaN,NaN,NaN,NaN,NaN,NaN,26096,NaN,NaN,NaN
"3456364",1560150396,NaN,NaN,37800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3456366",1560150398,NaN,NaN,37800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3456369",1560150401,NaN,351023.448979592,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3456370",1560150402,NaN,NaN,NaN,NaN,NaN,NaN,26047.6204238921,NaN,NaN,NaN
"3456371",1560150403,NaN,NaN,37800,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3456373",1560150405,56227.71,350767,37800,NaN,38016,19612,NaN,16946,16850.1335740072,6724
"3456374",1560150406,56229.67,351070.13740458,37800,NaN,38016,19612,NaN,16942.0974297669,NaN,6724
"3456375",1560150407,NaN,NaN,37800,NaN,NaN,NaN,26001,16974,16855.4503816794,NaN
"3456376",1560150408,56229.67,351255.458823529,37800,NaN,38016,19601,NaN,16913.887254902,16831,6723
"3456377",1560150409,56229.67,NaN,37800,NaN,38017,19601,26000,16953.4422535211,16831,6722.05836575875
"3456378",1560150410,NaN,350778,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3456379",1560150411,NaN,350782,NaN,31844,NaN,19601,NaN,NaN,NaN,NaN
"3456380",1560150412,NaN,NaN,37799.58,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3456384",1560150416,NaN,NaN,NaN,NaN,NaN,19599.9467903806,NaN,NaN,NaN,NaN
"3456386",1560150418,NaN,NaN,NaN,NaN,NaN,19628.7823343849,NaN,NaN,NaN,NaN
"3456387",1560150419,NaN,350831.709677419,NaN,NaN,38008.3623036649,NaN,NaN,NaN,NaN,6725
"3456389",1560150421,NaN,NaN,NaN,NaN,38008.6263399694,NaN,NaN,NaN,NaN,NaN
"3456390",1560150422,NaN,NaN,NaN,NaN,38014.5965665236,NaN,NaN,NaN,NaN,NaN
"3456391",1560150423,56227.71,350766,37691,NaN,38005,19611.0280898876,26004,16885,16781,6719
"3456392",1560150424,NaN,NaN,NaN,NaN,NaN,19623,NaN,NaN,NaN,NaN
"3456393",1560150425,NaN,NaN,NaN,NaN,NaN,19630.0693069307,NaN,NaN,NaN,NaN
"3456400",1560150432,NaN,350999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3456401",1560150433,NaN,NaN,NaN,NaN,NaN,NaN,26080,NaN,NaN,NaN
"3456405",1560150437,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6719
"3456406",1560150438,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6719
"3456407",1560150439,NaN,NaN,37771.8905742145,31846,NaN,NaN,NaN,NaN,NaN,6714.71959299574
"3456408",1560150440,NaN,350764.845528455,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6715
"3456409",1560150441,NaN,NaN,NaN,NaN,38075.7439969016,NaN,NaN,NaN,NaN,6708
"3456410",1560150442,NaN,NaN,NaN,NaN,38101,NaN,NaN,NaN,NaN,NaN
"3456411",1560150443,NaN,350998,NaN,NaN,38108.3712296984,NaN,NaN,NaN,NaN,NaN
"3456414",1560150446,56230.65,350756.533333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6705
"3456416",1560150448,NaN,NaN,NaN,NaN,NaN,19584,26000,NaN,NaN,NaN
"3456427",1560150459,NaN,350539,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
