"","Date","BTI","NPN","AGL","MNP","SOL","SBK","NED","ABG","SHP","FSR"
"1987184",1558681216,NaN,NaN,NaN,30683.9964412811,NaN,NaN,NaN,NaN,NaN,NaN
"1987186",1558681218,NaN,NaN,NaN,30586,NaN,NaN,NaN,NaN,NaN,NaN
"1987187",1558681219,53060.1196256684,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1987188",1558681220,NaN,NaN,NaN,30592,NaN,NaN,NaN,NaN,NaN,NaN
"1987189",1558681221,53221.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1987190",1558681222,NaN,NaN,NaN,30589,NaN,NaN,NaN,NaN,NaN,NaN
"1987192",1558681224,NaN,NaN,NaN,30594,NaN,NaN,NaN,NaN,NaN,NaN
"1987193",1558681225,NaN,315922.772055531,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1987194",1558681226,NaN,315593.079182156,NaN,30600,NaN,NaN,NaN,NaN,NaN,NaN
"1987195",1558681227,NaN,315263.118147951,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1987196",1558681228,NaN,315234.937787056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1987197",1558681229,NaN,315466.928571429,NaN,30599,NaN,NaN,NaN,NaN,NaN,NaN
"1987198",1558681230,NaN,315205.576092972,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1987199",1558681231,NaN,315353.471910112,NaN,30654,NaN,NaN,NaN,NaN,NaN,NaN
"1987200",1558681232,NaN,315512.204188482,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1987201",1558681233,NaN,315500,NaN,30683,NaN,NaN,NaN,NaN,NaN,NaN
"1987203",1558681235,NaN,NaN,NaN,30702,NaN,NaN,NaN,NaN,NaN,NaN
"1987205",1558681237,NaN,NaN,NaN,30699,NaN,NaN,NaN,NaN,NaN,NaN
"1987206",1558681238,NaN,315200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1987208",1558681240,NaN,NaN,NaN,30696,NaN,NaN,NaN,NaN,NaN,NaN
"1987210",1558681242,NaN,NaN,NaN,30708,NaN,NaN,NaN,NaN,NaN,NaN
"1987212",1558681244,NaN,NaN,NaN,30747,NaN,NaN,NaN,16150.2364703325,NaN,NaN
"1987213",1558681245,NaN,NaN,NaN,NaN,NaN,19100.0344234079,NaN,NaN,NaN,NaN
"1987214",1558681246,NaN,315000,NaN,30726,NaN,NaN,NaN,NaN,NaN,NaN
"1987215",1558681247,NaN,315000,NaN,NaN,NaN,NaN,NaN,16145,NaN,NaN
"1987217",1558681249,NaN,315001.650655022,NaN,30728,NaN,NaN,NaN,NaN,NaN,NaN
"1987218",1558681250,NaN,315158.109297374,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1987219",1558681251,NaN,315000,NaN,30743.5973715651,NaN,19103.1626781147,NaN,NaN,16495.4446157234,NaN
