"","Date","BTI","NPN","AGL","MNP","SOL","SBK","NED","ABG","SHP","FSR"
"1382383",1558076415,52130.1196551724,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1382398",1558076430,NaN,NaN,NaN,NaN,NaN,NaN,26973,NaN,NaN,NaN
"1382402",1558076434,52288.18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1382414",1558076446,NaN,330746.893617021,36084.5764782326,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1382415",1558076447,NaN,NaN,36101.9834273625,NaN,NaN,NaN,NaN,NaN,NaN,6753
"1382416",1558076448,NaN,NaN,36232.1373092927,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1382417",1558076449,NaN,NaN,36242.7057387057,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1382418",1558076450,NaN,330751.902439024,36300,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1382421",1558076453,NaN,331062,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1382422",1558076454,NaN,NaN,NaN,30597.7649325626,NaN,NaN,NaN,NaN,NaN,NaN
"1382423",1558076455,NaN,NaN,36300,30575.7899249732,NaN,NaN,NaN,NaN,NaN,NaN
"1382424",1558076456,NaN,330750,36296.9210526316,30584.9489759253,NaN,NaN,NaN,NaN,NaN,NaN
"1382426",1558076458,NaN,NaN,36243.925170068,NaN,NaN,NaN,NaN,NaN,NaN,6754
"1382427",1558076459,52247.91,330168,36224.7731707317,30587,43000.9504132231,19811,26785,16800,17502,6754
"1382428",1558076460,NaN,330168,NaN,NaN,NaN,19980,NaN,NaN,NaN,NaN
"1382429",1558076461,52247.91,330168,36230.1926605505,30587,43001,19811,26785,16801,17503,6754
"1382430",1558076462,NaN,NaN,36299.1403726708,NaN,NaN,19979,NaN,NaN,NaN,NaN
"1382432",1558076464,NaN,331502,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1382434",1558076466,NaN,331591,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1382435",1558076467,NaN,330729.36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1382436",1558076468,NaN,331504,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6771
"1382438",1558076470,NaN,330750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1382439",1558076471,NaN,331650,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1382441",1558076473,NaN,330750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1382442",1558076474,NaN,330250,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
