"","Date","BTI","NPN","AGL","MNP","SOL","SBK","NED","ABG","SHP","FSR"
"431976",1561705208,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6916
"431982",1561705214,NaN,NaN,NaN,NaN,NaN,19772.5749685006,NaN,NaN,NaN,NaN
"431983",1561705215,NaN,NaN,NaN,NaN,35100,NaN,NaN,NaN,NaN,NaN
"431990",1561705222,NaN,NaN,39626,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"431996",1561705228,NaN,NaN,39567,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4320047",1561705236,NaN,NaN,39475,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"432008",1561705240,NaN,NaN,NaN,NaN,35053,NaN,NaN,NaN,NaN,NaN
"432009",1561705241,NaN,336975.955102041,NaN,NaN,NaN,NaN,25171.9051094891,NaN,NaN,NaN
"432022",1561705254,NaN,336960,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4320249",1561705256,NaN,NaN,NaN,NaN,NaN,19712,NaN,NaN,NaN,NaN
"432049",1561705281,NaN,335501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"43206410",1561705296,NaN,336900,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4320741",1561705306,NaN,335502,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"432088",1561705320,NaN,NaN,NaN,31859,NaN,NaN,NaN,NaN,NaN,NaN
"4321051",1561705337,NaN,335503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"432128",1561705360,NaN,NaN,NaN,31730,NaN,NaN,NaN,NaN,NaN,NaN
"432134",1561705366,NaN,335506,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"432142",1561705374,NaN,NaN,39370,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4321484",1561705380,NaN,336434,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"432163",1561705395,NaN,335507,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"432164",1561705396,NaN,NaN,39400.0438047559,NaN,35099,NaN,NaN,NaN,NaN,NaN
"432166",1561705398,49676,336406,39412.5,31850.5588235294,35099,19810.2572002679,25257,17695,15994,6934
"432168",1561705400,NaN,336395,39411.3837429112,NaN,35100.6231884058,NaN,NaN,NaN,NaN,6935
"432169",1561705401,NaN,336385,39419,NaN,35056,NaN,NaN,NaN,NaN,NaN
"4321701",1561705402,49678,336385.5,NaN,NaN,NaN,19856,NaN,NaN,NaN,6935
"432171",1561705403,NaN,NaN,39419,NaN,NaN,NaN,NaN,NaN,NaN,6934.49809885932
"432172",1561705404,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6935
"4321761",1561705408,NaN,336376,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4321773",1561705409,49676,336375,NaN,NaN,35130.0652173913,NaN,NaN,NaN,NaN,NaN
"4321787",1561705410,NaN,NaN,NaN,31850,NaN,NaN,NaN,NaN,15994.7832512315,NaN
"432180",1561705412,49676,NaN,NaN,NaN,35136,NaN,NaN,17591,NaN,NaN
"432182",1561705414,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6935
"432183",1561705415,NaN,NaN,39428.3279742765,NaN,NaN,19850,NaN,17595,NaN,6935
"4321844",1561705416,NaN,NaN,NaN,NaN,NaN,19850,NaN,NaN,NaN,6935
"432185",1561705417,NaN,336348,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4321911",1561705423,NaN,NaN,NaN,NaN,35196,NaN,NaN,NaN,NaN,NaN
"432192",1561705424,49675,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"432194",1561705426,NaN,NaN,39370,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4321983",1561705430,NaN,336374,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"432199",1561705431,49664,336374.787878788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4322011",1561705433,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6926
"4322023",1561705434,49661,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4322032",1561705435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6936.41199376947
"4322041",1561705436,NaN,NaN,NaN,31844,NaN,NaN,NaN,NaN,NaN,NaN
"4322051",1561705437,NaN,NaN,NaN,31844.6078431373,NaN,NaN,NaN,NaN,NaN,NaN
"432212",1561705444,NaN,NaN,NaN,NaN,NaN,19850,NaN,NaN,NaN,6939
"432213",1561705445,NaN,NaN,NaN,NaN,NaN,19850,NaN,NaN,NaN,NaN
"432214",1561705446,NaN,NaN,NaN,NaN,NaN,19850,NaN,NaN,NaN,NaN
"4322151",1561705447,NaN,NaN,NaN,NaN,NaN,19850,NaN,NaN,NaN,NaN
"4322171",1561705449,NaN,NaN,NaN,NaN,NaN,19850,NaN,NaN,NaN,NaN
"4322202",1561705452,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17602,NaN,NaN
"432222",1561705454,NaN,336372,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4322232",1561705455,49657,336371,39425,31812,NaN,NaN,25257,17693,NaN,6941
"432224",1561705456,49645,336371,NaN,NaN,35195,19850,25294,NaN,15995,NaN
"4322251",1561705457,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17700,NaN,NaN
"432230",1561705462,NaN,336334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4322331",1561705465,49663,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4322353",1561705467,NaN,NaN,39441.7673860911,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"432250",1561705482,NaN,NaN,NaN,NaN,NaN,19893,NaN,NaN,NaN,NaN
"432251",1561705483,NaN,336283.742857143,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"432255",1561705487,NaN,NaN,NaN,31700,NaN,NaN,NaN,NaN,NaN,NaN
"4322586",1561705490,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15995,NaN
"4322601",1561705492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16000.6643835616,NaN
"4322644",1561705496,49669,NaN,NaN,NaN,35195,NaN,NaN,NaN,NaN,NaN
"432267",1561705499,NaN,336166,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4322681",1561705500,49699,336340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"432270",1561705502,NaN,NaN,39483,NaN,NaN,NaN,NaN,17609.5160462131,NaN,NaN
"4322781",1561705510,NaN,336340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4322791",1561705511,NaN,336340,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4322803",1561705512,NaN,336334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4322881",1561705520,NaN,336343.307557118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"432291",1561705523,NaN,NaN,NaN,NaN,35214.8647887324,NaN,NaN,NaN,NaN,NaN
"4322922",1561705524,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17610,NaN,NaN
"4322941",1561705526,NaN,NaN,NaN,31807,NaN,NaN,NaN,NaN,NaN,NaN
"432295",1561705527,NaN,336375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"432301",1561705533,49720,NaN,39482.5332741792,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"432303",1561705535,NaN,NaN,NaN,NaN,NaN,NaN,25290.3396226415,NaN,NaN,NaN
"4323111",1561705543,49696.7932489451,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"432313",1561705545,NaN,336375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4323151",1561705547,NaN,336375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6948
"432319",1561705551,NaN,NaN,39512.4339622641,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4323266",1561705558,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6941.17460945224
"432329",1561705561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6940
"4323301",1561705562,NaN,NaN,39538.9633802817,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4323331",1561705565,NaN,336210.151376147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"432337",1561705569,49678,NaN,NaN,NaN,NaN,NaN,NaN,17632,NaN,NaN
