"","Date","BTI","NPN","AGL","MNP","SOL","SBK","NED","ABG","SHP","FSR"
"1295969",1557990001,NaN,NaN,35184.2051282051,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1295987",1557990019,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16860,NaN,NaN
"1296009",1557990041,NaN,NaN,35258.1512851101,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1296010",1557990042,NaN,NaN,35260.1315496098,NaN,NaN,19966.6291208791,NaN,NaN,NaN,NaN
"1296011",1557990043,NaN,NaN,NaN,NaN,NaN,19962,NaN,NaN,NaN,NaN
"1296021",1557990053,NaN,NaN,NaN,30497,NaN,NaN,NaN,NaN,NaN,NaN
"1296024",1557990056,NaN,333958.642857143,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1296026",1557990058,NaN,333974,35261.2837512882,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1296027",1557990059,NaN,333980,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1296029",1557990061,NaN,333980,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1296033",1557990065,NaN,334939,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1296035",1557990067,NaN,334939.125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1296037",1557990069,NaN,334500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1296040",1557990072,NaN,334934.06557377,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1296045",1557990077,52214.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1296047",1557990079,NaN,334836.219710669,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1296051",1557990083,52269.52,NaN,35338.9899497487,NaN,NaN,19935.802,NaN,NaN,NaN,NaN
"1296053",1557990085,NaN,334999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1296055",1557990087,NaN,NaN,35399,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1296056",1557990088,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6798
"1296062",1557990094,NaN,334999,NaN,30390,NaN,NaN,NaN,NaN,NaN,NaN
"1296063",1557990095,NaN,NaN,NaN,30409.9853157122,NaN,NaN,NaN,NaN,NaN,NaN
"1296065",1557990097,NaN,334998.696864112,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1296066",1557990098,52177.21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1296068",1557990100,NaN,334997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1296069",1557990101,52177.21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1296071",1557990103,NaN,NaN,NaN,NaN,NaN,19887,NaN,NaN,NaN,NaN
"1296072",1557990104,NaN,NaN,NaN,NaN,NaN,19887,NaN,NaN,NaN,NaN
"1296074",1557990106,NaN,NaN,35399,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1296078",1557990110,52228.28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1296081",1557990113,NaN,335390,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1296096",1557990128,NaN,NaN,35416.9434628975,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1296098",1557990130,NaN,335114,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1296099",1557990131,NaN,335028.047785548,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1296101",1557990133,NaN,334777,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1296102",1557990134,NaN,334584.077994429,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1296104",1557990136,NaN,334600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1296105",1557990137,NaN,334501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1296106",1557990138,NaN,333999.515503876,NaN,NaN,43499,NaN,NaN,NaN,NaN,NaN
"1296107",1557990139,NaN,NaN,NaN,NaN,43499.1035044825,NaN,NaN,NaN,NaN,NaN
"1296108",1557990140,NaN,333692,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1296109",1557990141,NaN,NaN,NaN,NaN,43502,NaN,NaN,NaN,NaN,NaN
"1296120",1557990152,NaN,NaN,NaN,30381,NaN,NaN,NaN,NaN,NaN,NaN
