"","Date","BTI","NPN","AGL","MNP","SOL","SBK","NED","ABG","SHP","FSR"
"3801591",1560495623,NaN,NaN,NaN,32666.136,NaN,NaN,NaN,NaN,NaN,NaN
"3801592",1560495624,NaN,NaN,NaN,32709,NaN,NaN,NaN,NaN,NaN,NaN
"3801597",1560495629,NaN,NaN,NaN,NaN,NaN,NaN,25536,NaN,NaN,NaN
"3801599",1560495631,NaN,NaN,NaN,NaN,NaN,NaN,25536,NaN,NaN,NaN
"3801604",1560495636,NaN,NaN,NaN,NaN,NaN,19600.8001802885,NaN,NaN,NaN,NaN
"3801606",1560495638,NaN,344600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3801616",1560495648,NaN,344714.372469636,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3801617",1560495649,NaN,345205,NaN,NaN,36642.6153846154,NaN,NaN,NaN,NaN,NaN
"3801618",1560495650,NaN,344649.730538922,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3801621",1560495653,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6704.67875217307
"3801622",1560495654,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6718
"3801627",1560495659,NaN,NaN,NaN,NaN,NaN,NaN,25500,NaN,NaN,NaN
"3801628",1560495660,NaN,NaN,NaN,NaN,36789,NaN,NaN,NaN,NaN,NaN
"3801629",1560495661,NaN,NaN,NaN,NaN,NaN,NaN,25536,NaN,NaN,NaN
"3801636",1560495668,NaN,345393.547945205,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3801637",1560495669,53708.05,344644,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3801640",1560495672,NaN,NaN,NaN,NaN,36642,NaN,NaN,NaN,NaN,NaN
"3801644",1560495676,NaN,NaN,NaN,NaN,NaN,19724.015625,NaN,NaN,NaN,NaN
"3801645",1560495677,NaN,NaN,NaN,NaN,NaN,NaN,25599,NaN,NaN,NaN
"3801646",1560495678,NaN,NaN,39525,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3801647",1560495679,NaN,NaN,NaN,32724,NaN,NaN,NaN,NaN,NaN,NaN
"3801648",1560495680,NaN,NaN,39600,NaN,NaN,19700,NaN,NaN,NaN,NaN
"3801655",1560495687,NaN,344644,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3801659",1560495691,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17248.7441574416,NaN,NaN
"3801660",1560495692,NaN,NaN,NaN,NaN,NaN,NaN,25599,NaN,NaN,NaN
