"","Date","BTI","NPN","AGL","MNP","SOL","SBK","NED","ABG","SHP","FSR"
"86371",1556780403,54026.0582006125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86374",1556780406,NaN,NaN,36962.1029323758,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86378",1556780410,NaN,NaN,36971.4994994995,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86383",1556780415,NaN,NaN,37003.7305389222,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86385",1556780417,54392.46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86386",1556780418,NaN,NaN,37029,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86387",1556780419,NaN,NaN,NaN,NaN,47000.4941176471,NaN,NaN,NaN,NaN,NaN
"86393",1556780425,54006.57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86398",1556780430,NaN,NaN,36996.1818181818,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86399",1556780431,NaN,NaN,37001.2539280284,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86401",1556780433,NaN,NaN,37059,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86403",1556780435,NaN,NaN,37007,NaN,NaN,19658.2382478632,NaN,NaN,NaN,NaN
"86406",1556780438,53956.7401802362,368283,36990.6581446311,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86408",1556780440,NaN,NaN,NaN,NaN,47000.9046610169,NaN,NaN,NaN,NaN,NaN
"86409",1556780441,53813.13,369062.596541787,37007,NaN,47050,19791,NaN,NaN,NaN,6773
"86410",1556780442,NaN,369215.226666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86411",1556780443,53813.13,369188.92920354,37017.7671406003,NaN,47048.9645232816,19784,NaN,NaN,NaN,6773.51353328456
"86412",1556780444,NaN,368146.93931732,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86413",1556780445,53815.09,369056.96112311,37012,NaN,47056,19750.9345335516,NaN,NaN,NaN,6774.63470379614
"86415",1556780447,53813.13,368566.065714286,37050,NaN,47059.488372093,19785.5060606061,NaN,NaN,NaN,6776.49574283232
"86416",1556780448,NaN,368455.539711191,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6781
"86420",1556780452,53811.16,368167.305509182,37011,31585,NaN,NaN,26799,16395,NaN,6761.18854415274
"86421",1556780453,53810.425,368357.537815126,37011,31585,47153.7023977433,19800.4662379421,26799,16394.25,17399,NaN
"86422",1556780454,NaN,368483.002873563,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86423",1556780455,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6779.27537551206
"86424",1556780456,53809.2,368501,37010,NaN,NaN,NaN,NaN,16394.8559322034,NaN,6779.65384615385
"86425",1556780457,53815.3526258993,368588.917647059,37010.6645299145,31582.625,47150.5838509317,19810,26798,16391.1515151515,17399.8277602524,6789
"86426",1556780458,53842.03608,368507,37008,31593,47154,NaN,26798,16394,17399,6777.71955477957
"86427",1556780459,NaN,368824,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86428",1556780460,53811.16,368500,NaN,NaN,NaN,NaN,NaN,NaN,17274,NaN
"86429",1556780461,NaN,368830,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86430",1556780462,NaN,368830,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6759
"86432",1556780464,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6752
"86435",1556780467,NaN,368829,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86438",1556780470,53919.17,368829,36989.3021276596,31636,47062,19869,26674.9533116178,16394,17420,6775
"86439",1556780471,NaN,NaN,NaN,NaN,47154,NaN,26659,NaN,NaN,NaN
"86440",1556780472,53919.17,368829,36988.6495726496,31636,47092.3369175627,19869,26776,16394,17420,6775
"86443",1556780475,53942.74,368829,36973,31644,47142.5875,19869,26751.4175531915,16394,17420,6768.47917273522
"86444",1556780476,NaN,368830,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86445",1556780477,53941.76,368836,36971,31646,47154,19848.7540394973,26763,16394,17420,6775
"86446",1556780478,53940.77,NaN,36971.6042553192,31659,47154,19821.9192245557,26763,16394,17420,6757.81343943413
"86447",1556780479,53938.81,368919,36972,31659,47154,19863,26751,16394,17420,6777
"86450",1556780482,NaN,369121,NaN,NaN,NaN,19800.5990049751,NaN,NaN,NaN,NaN
"86451",1556780483,53937.83,369192,36985,31659,47162.1229773463,19862,26750,16394,17420,6778
"86455",1556780487,NaN,369890,NaN,NaN,NaN,NaN,26601,NaN,NaN,NaN
"86457",1556780489,NaN,369900,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6751.41680672269
"86459",1556780491,NaN,369899,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6755
"86460",1556780492,NaN,369890,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86461",1556780493,NaN,NaN,NaN,NaN,47200,NaN,NaN,NaN,NaN,NaN
"86463",1556780495,NaN,NaN,NaN,NaN,NaN,NaN,26522,NaN,NaN,NaN
"86464",1556780496,NaN,369202,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86465",1556780497,NaN,369900,36977,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86466",1556780498,53932.92,369902.037037037,NaN,31659,47298.7834710744,19862,26701,16394,17419,6776
"86467",1556780499,53930.135,370000,36978,31659,47300,19863,26701,16394,17419,6775
"86468",1556780500,NaN,NaN,NaN,31659,47300,19863,26701,NaN,17419,NaN
"86470",1556780502,NaN,369930.301745636,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86471",1556780503,NaN,NaN,36904.9409571162,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86472",1556780504,NaN,NaN,36950,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86473",1556780505,NaN,370172,36950,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86474",1556780506,NaN,NaN,36950,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86475",1556780507,NaN,370490,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86476",1556780508,NaN,NaN,36984.0654867257,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86477",1556780509,NaN,NaN,37001.0089858793,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86478",1556780510,NaN,NaN,NaN,NaN,47281,NaN,NaN,NaN,NaN,NaN
"86482",1556780514,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6774
"86483",1556780515,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17420,NaN
"86484",1556780516,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6758.79961832061
"86486",1556780518,NaN,370001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
