"","Date","BTI","NPN","AGL","MNP","SOL","SBK","NED","ABG","SHP","FSR"
"3196780",1559890812,55086.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3196809",1559890841,NaN,337504.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3196816",1559890848,NaN,NaN,NaN,NaN,NaN,19179,NaN,NaN,NaN,NaN
"3196819",1559890851,NaN,337222.653061224,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3196822",1559890854,NaN,NaN,37399.9717514124,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3196826",1559890858,55432.34,337462.984423676,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3196827",1559890859,55438.6291924319,336935,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3196828",1559890860,55440.2,337504.46,37343.8,NaN,37105,NaN,NaN,NaN,NaN,NaN
"3196829",1559890861,NaN,337508.578181818,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6500.81741179278
"3196830",1559890862,NaN,337500,37342,NaN,NaN,NaN,NaN,NaN,NaN,6500.47927664168
"3196831",1559890863,55431.5490715268,337850,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6490
"3196832",1559890864,55440.2,NaN,37338,NaN,NaN,NaN,NaN,NaN,NaN,6477.3290359823
"3196833",1559890865,NaN,337046,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6476
"3196834",1559890866,NaN,NaN,37335,NaN,NaN,NaN,NaN,NaN,NaN,6476
"3196835",1559890867,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6475
"3196836",1559890868,NaN,NaN,37323,NaN,NaN,NaN,NaN,NaN,NaN,6475
"3196838",1559890870,NaN,NaN,37324,NaN,37459.8914361501,NaN,NaN,NaN,NaN,6461
"3196839",1559890871,NaN,NaN,NaN,NaN,37463.297811608,NaN,NaN,NaN,NaN,6460
"3196840",1559890872,NaN,NaN,37326,NaN,NaN,NaN,NaN,NaN,NaN,6458
"3196841",1559890873,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6460
"3196842",1559890874,NaN,NaN,37396,NaN,37604.2352941177,NaN,NaN,NaN,NaN,6460
"3196843",1559890875,NaN,NaN,37318,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3196844",1559890876,NaN,NaN,NaN,NaN,37548.5256849315,19200,NaN,NaN,NaN,NaN
"3196845",1559890877,NaN,NaN,37314,NaN,NaN,NaN,NaN,NaN,NaN,NaN
