"","Date","BTI","NPN","AGL","MNP","SOL","SBK","NED","ABG","SHP","FSR"
"3715182",1560409214,NaN,NaN,NaN,32245,NaN,NaN,NaN,NaN,NaN,NaN
"3715183",1560409215,NaN,NaN,NaN,32220,NaN,NaN,NaN,NaN,NaN,NaN
"3715185",1560409217,NaN,NaN,38841,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3715190",1560409222,NaN,NaN,38979.99669967,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3715192",1560409224,NaN,NaN,38977,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3715198",1560409230,NaN,NaN,NaN,32085,NaN,NaN,NaN,NaN,NaN,NaN
"3715199",1560409231,NaN,NaN,NaN,32089.9180327869,NaN,NaN,NaN,NaN,NaN,NaN
"3715204",1560409236,54426.84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3715212",1560409244,NaN,NaN,NaN,NaN,37316.6755852843,NaN,NaN,NaN,NaN,NaN
"3715213",1560409245,NaN,NaN,NaN,NaN,37320,NaN,NaN,NaN,NaN,NaN
"3715214",1560409246,NaN,340127.513888889,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3715218",1560409250,NaN,341999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3715222",1560409254,NaN,341980,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3715224",1560409256,NaN,341999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3715227",1560409259,NaN,NaN,NaN,NaN,37202,NaN,NaN,NaN,NaN,NaN
"3715229",1560409261,NaN,341990,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3715230",1560409262,NaN,NaN,NaN,NaN,37200.6612111293,NaN,NaN,NaN,NaN,NaN
"3715231",1560409263,54353.4021428571,NaN,NaN,NaN,37198.325974026,NaN,NaN,NaN,NaN,NaN
"3715232",1560409264,NaN,NaN,NaN,NaN,NaN,19969,NaN,NaN,NaN,NaN
"3715233",1560409265,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6725.22559652928
"3715239",1560409271,NaN,NaN,NaN,NaN,37199,NaN,NaN,NaN,NaN,NaN
"3715241",1560409273,NaN,NaN,NaN,NaN,37200,NaN,NaN,NaN,NaN,NaN
"3715243",1560409275,54234.38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3715244",1560409276,NaN,340255,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3715247",1560409279,NaN,NaN,NaN,NaN,37199.3937677054,NaN,NaN,NaN,NaN,6688
"3715248",1560409280,NaN,341885,38999,32055.6633663366,37205.5966435185,19946,25831.9130434783,17421,16833,6721
"3715249",1560409281,NaN,NaN,NaN,NaN,NaN,NaN,25603,NaN,NaN,NaN
"3715251",1560409283,54218.66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3715256",1560409288,NaN,NaN,NaN,NaN,37199,NaN,NaN,NaN,NaN,NaN
"3715259",1560409291,NaN,341869,NaN,NaN,37180.9605633803,19897,25840,NaN,16833,6718
"3715260",1560409292,NaN,341865,38939,NaN,NaN,19896,25840,17415.4978540773,16833,6717
"3715261",1560409293,NaN,341860,NaN,NaN,37186.6798561151,19896,25840,17415,16833,6717
"3715262",1560409294,NaN,341865,NaN,NaN,37199,19896,25848,17415,16833,6717
"3715264",1560409296,54214.73,341780.66728972,38972.0741410488,32110.1118251928,37185.8739376771,19895,25848,17416,16834,6717
"3715265",1560409297,54255,341674.041935484,NaN,NaN,37199,NaN,NaN,NaN,NaN,NaN
"3715266",1560409298,NaN,341722.420560748,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3715267",1560409299,NaN,341792.917241379,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3715268",1560409300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6685.43969849246
"3715270",1560409302,54283.47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3715271",1560409303,NaN,341799.2,NaN,NaN,37200,NaN,NaN,NaN,NaN,NaN
"3715272",1560409304,NaN,341799.224576271,38967,NaN,37198.137254902,NaN,25848,NaN,16834,6716.687664042
"3715273",1560409305,54264.82,NaN,38970.7873303167,NaN,NaN,NaN,NaN,17413,NaN,NaN
"3715274",1560409306,54255.98,341821.158469945,38976.6038961039,NaN,NaN,19889,NaN,NaN,NaN,NaN
"3715275",1560409307,NaN,NaN,NaN,NaN,NaN,19582,NaN,NaN,NaN,6716
"3715276",1560409308,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6716
"3715277",1560409309,54252.05,341894.985486212,NaN,32141,NaN,NaN,NaN,NaN,NaN,NaN
"3715278",1560409310,NaN,342945,38884,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3715280",1560409312,NaN,NaN,NaN,NaN,NaN,19583,NaN,NaN,NaN,NaN
"3715281",1560409313,NaN,NaN,NaN,NaN,37196.5974395448,19864,NaN,NaN,NaN,NaN
"3715282",1560409314,NaN,343749,NaN,NaN,37174,NaN,NaN,NaN,NaN,NaN
"3715284",1560409316,NaN,343749,NaN,NaN,37137.6389825314,19637.6460829493,25885,NaN,16831,6717
