"","Date","BTI","NPN","AGL","MNP","SOL","SBK","NED","ABG","SHP","FSR"
"1641575",1558335607,NaN,NaN,NaN,NaN,43055,NaN,NaN,NaN,NaN,NaN
"1641597",1558335629,53280.91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1641606",1558335638,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16550,NaN,NaN
"1641619",1558335651,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17258,NaN
"1641621",1558335653,NaN,323583.679542203,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1641622",1558335654,NaN,323560.843621399,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1641624",1558335656,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17202,NaN
"1641628",1558335660,NaN,NaN,NaN,NaN,43058,NaN,NaN,NaN,NaN,NaN
"1641630",1558335662,NaN,NaN,NaN,NaN,NaN,19591,NaN,NaN,17200,NaN
"1641631",1558335663,NaN,323637,NaN,NaN,NaN,NaN,NaN,NaN,17194,NaN
"1641632",1558335664,53365.36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1641633",1558335665,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17194,NaN
"1641635",1558335667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17140,NaN
"1641636",1558335668,NaN,323711,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1641638",1558335670,NaN,NaN,NaN,NaN,43057.7685185185,NaN,NaN,NaN,NaN,NaN
"1641640",1558335672,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16489,NaN,NaN
"1641641",1558335673,NaN,NaN,NaN,NaN,43054.4491292392,NaN,NaN,NaN,NaN,NaN
"1641643",1558335675,NaN,NaN,NaN,NaN,43055,NaN,NaN,NaN,NaN,NaN
"1641644",1558335676,NaN,NaN,NaN,NaN,43055,NaN,NaN,NaN,NaN,NaN
"1641646",1558335678,NaN,NaN,NaN,NaN,43055.7291501191,NaN,NaN,NaN,NaN,NaN
"1641649",1558335681,NaN,323711,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1641650",1558335682,NaN,NaN,NaN,NaN,43055,NaN,NaN,NaN,NaN,NaN
"1641655",1558335687,53308.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1641657",1558335689,NaN,NaN,NaN,31084,NaN,NaN,NaN,NaN,NaN,NaN
"1641658",1558335690,53275.02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1641660",1558335692,NaN,323833.428571429,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1641666",1558335698,NaN,323711,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1641667",1558335699,NaN,323710,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1641669",1558335701,NaN,323750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1641670",1558335702,NaN,323750,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1641673",1558335705,NaN,323710,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1641676",1558335708,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6555
"1641678",1558335710,NaN,NaN,35871,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1641690",1558335722,NaN,323702.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6575
"1641691",1558335723,NaN,323445,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1641693",1558335725,NaN,323691.826923077,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1641696",1558335728,NaN,323445,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1641698",1558335730,NaN,323445,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1641702",1558335734,NaN,323700,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1641710",1558335742,NaN,323575.955555556,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1641718",1558335750,NaN,NaN,35922,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1641721",1558335753,NaN,323699,NaN,NaN,NaN,NaN,NaN,NaN,17141,NaN
"1641724",1558335756,NaN,NaN,NaN,NaN,43020,NaN,NaN,NaN,NaN,NaN
"1641730",1558335762,NaN,323445,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1641732",1558335764,NaN,323444.852739726,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1641733",1558335765,NaN,323333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
