"","Date","BTI","NPN","AGL","MNP","SOL","SBK","NED","ABG","SHP","FSR"
"1036783",1557730815,NaN,NaN,NaN,NaN,44016,NaN,NaN,NaN,NaN,NaN
"1036784",1557730816,51931.5122222222,NaN,NaN,NaN,44017,NaN,NaN,NaN,NaN,NaN
"1036788",1557730820,NaN,NaN,NaN,NaN,44017,NaN,NaN,NaN,NaN,NaN
"1036798",1557730830,NaN,NaN,NaN,NaN,NaN,NaN,27315.296398892,NaN,17451,NaN
"1036800",1557730832,NaN,NaN,NaN,NaN,NaN,NaN,27376.6181818182,NaN,NaN,NaN
"1036803",1557730835,NaN,NaN,NaN,NaN,NaN,NaN,27415,NaN,NaN,NaN
"1036806",1557730838,NaN,NaN,NaN,NaN,NaN,NaN,27445,NaN,NaN,NaN
"1036807",1557730839,NaN,344909.422053232,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1036808",1557730840,NaN,344911.738636364,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1036809",1557730841,NaN,NaN,NaN,NaN,NaN,20301,NaN,NaN,NaN,NaN
"1036810",1557730842,NaN,NaN,NaN,NaN,NaN,NaN,27512,NaN,NaN,NaN
"1036812",1557730844,NaN,345005.333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1036816",1557730848,NaN,346000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1036818",1557730850,NaN,345644.058091286,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1036819",1557730851,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6935
"1036820",1557730852,NaN,345982.401869159,NaN,NaN,NaN,20360,NaN,NaN,NaN,6944.95316520844
"1036822",1557730854,NaN,345897.025641026,NaN,NaN,NaN,20364,NaN,NaN,NaN,NaN
"1036823",1557730855,NaN,345764.103921569,NaN,30700,NaN,NaN,NaN,NaN,NaN,6948.60354391371
"1036824",1557730856,NaN,346199,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6964.66357874208
"1036825",1557730857,NaN,346200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1036826",1557730858,NaN,346067.567567568,NaN,NaN,NaN,20402.0462660779,NaN,NaN,NaN,NaN
"1036828",1557730860,NaN,345625.260663507,NaN,30796,NaN,NaN,NaN,NaN,NaN,NaN
"1036829",1557730861,NaN,345999.847792998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1036832",1557730864,NaN,344833.587044534,NaN,30746.7271689498,NaN,20399.8025531915,NaN,NaN,17456,6931
"1036834",1557730866,NaN,NaN,NaN,NaN,NaN,20497,NaN,NaN,NaN,NaN
"1036835",1557730867,NaN,345664.763157895,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1036836",1557730868,NaN,NaN,35163,NaN,NaN,NaN,NaN,NaN,17457,NaN
"1036837",1557730869,52153.65,345474.580152672,NaN,NaN,NaN,20455.9147235177,NaN,NaN,17458,6933
"1036838",1557730870,NaN,345597,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1036839",1557730871,NaN,345453.351648352,NaN,30667,NaN,20391.9011703511,NaN,NaN,17456.6948356808,6933
"1036841",1557730873,NaN,345699,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1036844",1557730876,NaN,344853.155756208,NaN,30666,NaN,20365.5742434905,NaN,NaN,17455.4226579521,6959.28171992481
"1036846",1557730878,NaN,344567.032520325,35173.683994528,30662.3731343284,NaN,20367,NaN,NaN,17456,6934
"1036847",1557730879,NaN,NaN,NaN,NaN,NaN,20490,NaN,NaN,NaN,NaN
"1036848",1557730880,NaN,344416.7,NaN,30658.7755102041,NaN,20385.5980551053,NaN,NaN,17512.8730245232,6956.15167548501
"1036850",1557730882,NaN,344390.309468822,NaN,NaN,NaN,20385.6084673449,NaN,NaN,17467.7262357414,6961.47052401747
"1036851",1557730883,NaN,NaN,NaN,NaN,NaN,20462,NaN,NaN,17541.8771331058,NaN
"1036852",1557730884,NaN,NaN,NaN,NaN,44100,NaN,NaN,16598.8549243169,NaN,NaN
"1036853",1557730885,NaN,NaN,35100,NaN,NaN,NaN,NaN,NaN,17473,6980
"1036854",1557730886,NaN,344224.024193548,35099.1041433371,NaN,44050,20343,NaN,NaN,NaN,6926
"1036855",1557730887,NaN,344817,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1036857",1557730889,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16592,NaN,NaN
"1036858",1557730890,NaN,NaN,NaN,NaN,NaN,20422,NaN,NaN,NaN,NaN
"1036859",1557730891,52008.32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1036860",1557730892,NaN,344819,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1036861",1557730893,NaN,NaN,35100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1036863",1557730895,NaN,NaN,35071.0941619586,NaN,NaN,NaN,NaN,NaN,NaN,6961
"1036864",1557730896,NaN,344097.83,35100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1036865",1557730897,NaN,NaN,35100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1036866",1557730898,NaN,344200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1036867",1557730899,NaN,NaN,35100,NaN,NaN,NaN,NaN,NaN,NaN,6963
"1036868",1557730900,NaN,344818,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1036869",1557730901,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6932
"1036873",1557730905,NaN,344500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1036879",1557730911,52140.88,344500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1036881",1557730913,NaN,344819,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1036882",1557730914,NaN,345000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1036885",1557730917,NaN,345000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1036886",1557730918,NaN,345000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1036892",1557730924,NaN,344994.695187166,NaN,NaN,NaN,NaN,NaN,16596,NaN,NaN
"1036893",1557730925,NaN,344993.864864865,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1036896",1557730928,NaN,344993,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1036899",1557730931,NaN,344999.447887324,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1036900",1557730932,NaN,NaN,NaN,NaN,44196.1317715959,NaN,NaN,NaN,NaN,NaN
"1036901",1557730933,NaN,345032,NaN,NaN,NaN,20384.6643067847,NaN,NaN,NaN,NaN
"1036905",1557730937,52140.88,NaN,35100,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1036906",1557730938,NaN,345499,NaN,NaN,44426,NaN,NaN,NaN,NaN,NaN
"1036907",1557730939,NaN,NaN,NaN,NaN,44272,NaN,NaN,NaN,NaN,NaN
"1036909",1557730941,NaN,344330.431906615,NaN,30646.8965517241,44270.6700879765,20359.79834462,NaN,NaN,NaN,6934.28693439942
"1036910",1557730942,NaN,NaN,NaN,NaN,44421.4535519126,NaN,NaN,NaN,NaN,NaN
"1036911",1557730943,NaN,344331.388012618,35087.8240291262,NaN,44272,20359,NaN,NaN,NaN,6943.39939420164
"1036912",1557730944,52052.51,345081.20754717,35086,30615,44272,20359,27327,16597,NaN,6941.38328530259
"1036914",1557730946,NaN,344601,NaN,NaN,44272,20325,27330,16597,NaN,6920
"1036915",1557730947,NaN,344710,35060,NaN,44272,20325,27332,16597,NaN,6950.12447013488
"1036917",1557730949,NaN,344850,NaN,NaN,44272,20325,27331,16597,NaN,6921
"1036918",1557730950,NaN,345000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1036919",1557730951,51971.01,345000,NaN,30615,NaN,NaN,NaN,NaN,NaN,NaN
"1036921",1557730953,NaN,NaN,NaN,30613,44272,NaN,NaN,NaN,NaN,NaN
"1036922",1557730954,NaN,345477,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1036923",1557730955,NaN,NaN,NaN,NaN,44272,NaN,NaN,NaN,NaN,NaN
"1036924",1557730956,51968.06,345209.709677419,35043.3070866142,NaN,44249.9780701754,20320,27331,16597,NaN,6921.683081571
"1036925",1557730957,NaN,NaN,NaN,NaN,44264.3743093923,NaN,NaN,NaN,NaN,NaN
"1036926",1557730958,NaN,NaN,NaN,NaN,44423,NaN,NaN,NaN,NaN,NaN
"1036929",1557730961,NaN,NaN,NaN,30613,NaN,NaN,NaN,NaN,NaN,NaN
"1036931",1557730963,NaN,NaN,35006,30606,44202,20321,27332,16597,NaN,6921
"1036932",1557730964,NaN,344819,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1036937",1557730969,NaN,344849.852272727,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1036938",1557730970,NaN,344819,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1036939",1557730971,51999.48,344501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1036941",1557730973,NaN,344530.671641791,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1036944",1557730976,NaN,NaN,NaN,NaN,44225.4548286604,20321,NaN,NaN,NaN,NaN
"1036945",1557730977,NaN,344504,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"1036946",1557730978,NaN,NaN,NaN,NaN,44400,NaN,NaN,NaN,NaN,NaN
"1036948",1557730980,NaN,NaN,NaN,NaN,44400,NaN,NaN,NaN,NaN,NaN
