"","Date","BTI","NPN","AGL","MNP","SOL","SBK","NED","ABG","SHP","FSR"
"4751993",1561446025,49489.65,NaN,NaN,NaN,NaN,20299,NaN,NaN,NaN,NaN
"4751999",1561446031,NaN,NaN,39659,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4752003",1561446035,49541.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4752006",1561446038,NaN,337043.845864662,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4752007",1561446039,NaN,336731.256198347,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4752008",1561446040,NaN,NaN,NaN,NaN,36398.9903030303,NaN,NaN,NaN,NaN,NaN
"4752009",1561446041,NaN,336884.076491228,NaN,NaN,36393.3461538462,NaN,NaN,NaN,NaN,NaN
"4752010",1561446042,NaN,336783,NaN,NaN,36227,NaN,NaN,NaN,NaN,NaN
"4752011",1561446043,NaN,336714.604651163,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4752012",1561446044,NaN,336645.630769231,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4752017",1561446049,NaN,NaN,39732,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4752037",1561446069,NaN,336500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4752042",1561446074,NaN,336027,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4752044",1561446076,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6908
"4752047",1561446079,NaN,NaN,NaN,NaN,36348.5188284519,NaN,NaN,NaN,NaN,NaN
"4752054",1561446086,NaN,NaN,39606,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4752057",1561446089,NaN,NaN,NaN,NaN,NaN,NaN,26192,NaN,NaN,NaN
"4752058",1561446090,49454.1992268041,NaN,NaN,NaN,36235.7126760563,NaN,NaN,NaN,NaN,NaN
"4752067",1561446099,NaN,NaN,NaN,31779,NaN,NaN,NaN,NaN,NaN,NaN
"4752068",1561446100,NaN,NaN,39404,NaN,36234.9957746479,NaN,NaN,NaN,NaN,NaN
"4752071",1561446103,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16363,NaN
"4752073",1561446105,NaN,NaN,NaN,NaN,36237,NaN,NaN,NaN,NaN,NaN
"4752074",1561446106,NaN,NaN,NaN,NaN,36328,NaN,NaN,NaN,NaN,NaN
"4752075",1561446107,NaN,NaN,NaN,NaN,NaN,NaN,26100,NaN,NaN,NaN
"4752077",1561446109,NaN,NaN,NaN,NaN,36236.1960985626,NaN,NaN,NaN,NaN,NaN
"4752081",1561446113,NaN,336455.376425856,NaN,NaN,36279.8617021277,20280,NaN,NaN,NaN,6926
"4752082",1561446114,NaN,336456.89084507,NaN,NaN,36257.0696864112,20279.8373101952,NaN,NaN,NaN,NaN
"4752083",1561446115,NaN,336307.923076923,NaN,31750,NaN,NaN,NaN,NaN,NaN,6926
"4752084",1561446116,49448.41,336665.75,NaN,31780.2006920415,NaN,NaN,NaN,NaN,16360.5995203837,6910
"4752086",1561446118,49444.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4752087",1561446119,49444.48,NaN,39524,NaN,36300,20280,NaN,NaN,NaN,NaN
"4752088",1561446120,49450.38,NaN,39525,NaN,NaN,NaN,NaN,NaN,NaN,6924.30507065669
"4752089",1561446121,NaN,NaN,39524,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4752090",1561446122,NaN,NaN,39524.2311178248,31805,NaN,NaN,NaN,NaN,NaN,NaN
"4752091",1561446123,NaN,NaN,39524,31806,NaN,NaN,NaN,NaN,NaN,NaN
"4752092",1561446124,49423.86,NaN,NaN,NaN,NaN,NaN,26151.064516129,NaN,NaN,NaN
"4752093",1561446125,NaN,NaN,39523.391959799,NaN,36300,NaN,NaN,NaN,NaN,NaN
"4752094",1561446126,NaN,336900,NaN,NaN,36300,NaN,NaN,NaN,NaN,NaN
