"","Date","BTI","NPN","AGL","MNP","SOL","SBK","NED","ABG","SHP","FSR"
"172783",1556866815,NaN,368252.285714286,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"172788",1556866820,NaN,367668,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"172795",1556866827,NaN,NaN,NaN,NaN,NaN,NaN,26835,NaN,NaN,NaN
"172796",1556866828,NaN,368876.778670562,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"172799",1556866831,NaN,368799,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"172805",1556866837,NaN,368142.375,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"172809",1556866841,NaN,368000,NaN,NaN,NaN,NaN,NaN,NaN,17475.3070866142,NaN
"172811",1556866843,NaN,NaN,NaN,NaN,NaN,NaN,26846,NaN,NaN,NaN
"172818",1556866850,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17490,NaN
"172822",1556866854,NaN,NaN,37033.7690531178,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"172825",1556866857,NaN,368646,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"172827",1556866859,NaN,NaN,37063,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"172828",1556866860,NaN,368586.243697479,37089,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"172829",1556866861,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17500,NaN
"172830",1556866862,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6852
"172833",1556866865,NaN,NaN,37101.6308724832,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"172834",1556866866,NaN,NaN,37058.7465,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"172835",1556866867,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6868
"172836",1556866868,NaN,368013,NaN,NaN,46210,NaN,NaN,NaN,NaN,NaN
"172838",1556866870,NaN,NaN,NaN,NaN,45900,NaN,NaN,NaN,NaN,NaN
"172850",1556866882,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6855
"172854",1556866886,NaN,368239.769230769,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"172855",1556866887,NaN,NaN,NaN,NaN,46014.7315541601,NaN,NaN,NaN,NaN,NaN
"172856",1556866888,NaN,368397.379104478,NaN,NaN,45904,NaN,NaN,NaN,NaN,NaN
"172857",1556866889,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6870
"172858",1556866890,NaN,368028,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"172864",1556866896,NaN,NaN,NaN,NaN,NaN,20157,NaN,NaN,NaN,NaN
"172866",1556866898,NaN,368486.017667845,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"172867",1556866899,NaN,368401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"172869",1556866901,NaN,368622,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"172870",1556866902,NaN,NaN,NaN,NaN,45906,NaN,NaN,NaN,NaN,NaN
"172871",1556866903,NaN,368780,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"172873",1556866905,NaN,NaN,NaN,NaN,46022,NaN,NaN,NaN,NaN,NaN
"172877",1556866909,NaN,368841.896551724,NaN,NaN,46114,NaN,NaN,NaN,NaN,NaN
"172878",1556866910,NaN,369080,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"172881",1556866913,NaN,NaN,NaN,NaN,46174,NaN,NaN,NaN,NaN,6889.42211981567
"172882",1556866914,NaN,368984.733333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"172883",1556866915,NaN,NaN,NaN,NaN,45924,NaN,NaN,NaN,NaN,NaN
"172885",1556866917,NaN,NaN,NaN,NaN,46036,NaN,NaN,NaN,NaN,NaN
"172886",1556866918,NaN,NaN,NaN,NaN,45936.2682926829,NaN,NaN,NaN,NaN,NaN
"172889",1556866921,NaN,369073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"172890",1556866922,NaN,NaN,NaN,NaN,NaN,20159,NaN,NaN,NaN,NaN
"172893",1556866925,53570.59,368705.2,37136,32002,45924,20159,26904,16728,17475,6873
"172895",1556866927,NaN,NaN,NaN,NaN,NaN,20159,NaN,NaN,NaN,NaN
"172897",1556866929,NaN,NaN,37199,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"172898",1556866930,NaN,369073,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"172900",1556866932,NaN,369079.25625,NaN,NaN,NaN,20195.3942394239,NaN,NaN,NaN,NaN
"172903",1556866935,NaN,369074.511848341,NaN,NaN,NaN,20195,NaN,NaN,NaN,NaN
"172905",1556866937,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17476,NaN
"172907",1556866939,NaN,369079,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"172913",1556866945,NaN,369079,37219,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"172915",1556866947,NaN,NaN,37210,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"172916",1556866948,NaN,369079,37211,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"172918",1556866950,NaN,NaN,37211,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"172919",1556866951,NaN,NaN,NaN,NaN,46115,NaN,NaN,NaN,NaN,NaN
"172920",1556866952,NaN,369079,37213,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"172922",1556866954,NaN,NaN,37210,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"172923",1556866955,NaN,369050,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"172924",1556866956,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6889
"172925",1556866957,NaN,368703.700483092,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"172926",1556866958,NaN,368591.517621145,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"172927",1556866959,NaN,369049,NaN,NaN,46115,NaN,NaN,NaN,NaN,NaN
"172929",1556866961,NaN,NaN,37242,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"172930",1556866962,NaN,369049,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6888
"172932",1556866964,NaN,368533,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"172933",1556866965,NaN,369049,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"172935",1556866967,NaN,368638.075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"172940",1556866972,NaN,368411,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"172943",1556866975,NaN,368989.350574713,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"172945",1556866977,NaN,368977,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"172946",1556866978,NaN,368977,37242,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"172947",1556866979,NaN,NaN,NaN,NaN,NaN,NaN,26994,NaN,NaN,NaN
"172948",1556866980,NaN,NaN,37205.6534234996,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"172949",1556866981,53733.3704679803,368938,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"172951",1556866983,NaN,NaN,37254.1815431165,NaN,NaN,NaN,NaN,16804,NaN,NaN
"172952",1556866984,NaN,368933.056074766,NaN,NaN,NaN,NaN,NaN,16762,NaN,NaN
"172953",1556866985,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16741,NaN,NaN
"172955",1556866987,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6875
"172958",1556866990,NaN,368899,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"172961",1556866993,NaN,368899,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"172962",1556866994,NaN,368907.142372881,NaN,NaN,NaN,20190,NaN,NaN,NaN,NaN
"172965",1556866997,NaN,368637.192881745,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"172969",1556867001,NaN,368999.530232558,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"172974",1556867006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17500,NaN
"172975",1556867007,NaN,368859.166666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"172976",1556867008,NaN,369000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"172982",1556867014,NaN,369000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"172988",1556867020,NaN,369000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"172990",1556867022,NaN,369073,37312,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"172991",1556867023,NaN,368933.569739953,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"172992",1556867024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17554,NaN
"172995",1556867027,NaN,NaN,NaN,NaN,NaN,20190,NaN,NaN,NaN,NaN
"172996",1556867028,NaN,369080,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"173000",1556867032,NaN,369080,NaN,NaN,NaN,NaN,NaN,NaN,17553,NaN
"173004",1556867036,NaN,NaN,NaN,NaN,NaN,NaN,26990,NaN,NaN,NaN
