"","Date","BTI","NPN","AGL","MNP","SOL","SBK","NED","ABG","SHP","FSR"
"3542386",1560236418,NaN,NaN,NaN,31518,NaN,NaN,NaN,NaN,NaN,NaN
"3542388",1560236420,NaN,NaN,NaN,31500,NaN,NaN,NaN,NaN,NaN,NaN
"3542405",1560236437,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17310,NaN,NaN
"3542421",1560236453,NaN,351500.801282051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6824.52978554408
"3542426",1560236458,NaN,NaN,NaN,NaN,NaN,20027.6442910916,NaN,NaN,NaN,NaN
"3542427",1560236459,NaN,NaN,NaN,NaN,37996.2553191489,NaN,NaN,NaN,NaN,NaN
"3542430",1560236462,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6793
"3542431",1560236463,NaN,351505.363636364,38002.9041942605,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3542433",1560236465,NaN,351499.178832117,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3542435",1560236467,NaN,351474.815076561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3542436",1560236468,NaN,351500,38051.3523608175,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3542437",1560236469,NaN,351491.969167523,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3542438",1560236470,NaN,351500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3542439",1560236471,NaN,351500,NaN,NaN,NaN,NaN,NaN,17299,NaN,NaN
"3542442",1560236474,NaN,351500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3542444",1560236476,NaN,351484.723004695,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6793
"3542445",1560236477,NaN,351200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3542448",1560236480,NaN,350978,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3542452",1560236484,NaN,351380,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3542453",1560236485,56047.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3542456",1560236488,NaN,NaN,NaN,31442,NaN,NaN,NaN,NaN,NaN,NaN
"3542459",1560236491,NaN,351495.720812183,NaN,31523.5857359636,NaN,NaN,NaN,NaN,NaN,NaN
"3542464",1560236496,NaN,351026,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3542468",1560236500,NaN,NaN,NaN,NaN,38273,NaN,NaN,NaN,NaN,6809.76462173315
"3542470",1560236502,NaN,NaN,NaN,NaN,37961,NaN,NaN,NaN,NaN,NaN
"3542472",1560236504,NaN,NaN,NaN,NaN,NaN,NaN,26400,NaN,NaN,NaN
"3542473",1560236505,NaN,NaN,38021,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3542475",1560236507,NaN,NaN,NaN,NaN,NaN,NaN,26549.3076923077,NaN,16804,NaN
"3542477",1560236509,NaN,NaN,NaN,NaN,NaN,NaN,26548.7783251232,NaN,NaN,NaN
"3542480",1560236512,NaN,NaN,NaN,NaN,NaN,NaN,26520.9308176101,NaN,NaN,NaN
"3542481",1560236513,NaN,351350,NaN,NaN,NaN,NaN,26549.6019080659,NaN,NaN,6828
"3542483",1560236515,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6830
"3542484",1560236516,NaN,NaN,NaN,NaN,NaN,NaN,26598,NaN,NaN,NaN
"3542486",1560236518,NaN,NaN,NaN,NaN,NaN,20044.0252303642,NaN,NaN,NaN,NaN
"3542488",1560236520,NaN,NaN,NaN,NaN,37963,20047,NaN,NaN,NaN,6842.53968253968
"3542491",1560236523,NaN,NaN,NaN,NaN,NaN,20047,NaN,NaN,NaN,NaN
"3542493",1560236525,NaN,NaN,NaN,NaN,NaN,20069.8378707842,NaN,17256,NaN,NaN
"3542494",1560236526,NaN,NaN,NaN,NaN,NaN,20087.0023310023,NaN,NaN,NaN,NaN
"3542495",1560236527,NaN,NaN,NaN,NaN,NaN,20092,NaN,NaN,NaN,NaN
"3542497",1560236529,NaN,NaN,NaN,NaN,NaN,20092,NaN,NaN,NaN,NaN
"3542500",1560236532,NaN,NaN,NaN,NaN,NaN,NaN,26598.1189427313,NaN,NaN,NaN
"3542502",1560236534,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6824
"3542504",1560236536,NaN,NaN,NaN,NaN,NaN,NaN,26600.0961482769,NaN,NaN,NaN
"3542505",1560236537,NaN,NaN,NaN,NaN,NaN,NaN,26625,NaN,NaN,NaN
"3542506",1560236538,NaN,NaN,NaN,NaN,38268,NaN,26627,NaN,NaN,NaN
"3542507",1560236539,NaN,NaN,38093,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3542508",1560236540,NaN,351051,38108.9322200393,NaN,NaN,NaN,26606.3529411765,NaN,NaN,6842
"3542509",1560236541,NaN,NaN,NaN,NaN,NaN,NaN,26635.5256916996,NaN,NaN,6845
"3542510",1560236542,NaN,351835,NaN,NaN,NaN,NaN,26636,NaN,NaN,NaN
"3542511",1560236543,NaN,351835,NaN,NaN,NaN,20099.2016293279,26645,NaN,NaN,6850
"3542513",1560236545,NaN,NaN,NaN,NaN,NaN,20100,NaN,NaN,NaN,NaN
"3542519",1560236551,NaN,351650,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3542520",1560236552,NaN,NaN,NaN,NaN,NaN,NaN,26623.6645348837,NaN,NaN,NaN
"3542523",1560236555,NaN,NaN,NaN,NaN,NaN,NaN,26623.3412162162,NaN,16887,6842
"3542524",1560236556,NaN,NaN,NaN,NaN,NaN,NaN,26623.7123287671,NaN,NaN,NaN
"3542526",1560236558,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6857
"3542529",1560236561,NaN,351097,NaN,NaN,NaN,20100,NaN,NaN,NaN,NaN
"3542530",1560236562,NaN,NaN,38178,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3542532",1560236564,NaN,NaN,NaN,NaN,NaN,20099,NaN,NaN,NaN,NaN
"3542535",1560236567,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6842
"3542539",1560236571,55890.9,NaN,38113,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3542541",1560236573,NaN,NaN,NaN,NaN,NaN,NaN,26623,NaN,NaN,NaN
"3542548",1560236580,55880.1,NaN,NaN,NaN,NaN,20071,NaN,NaN,NaN,NaN
"3542552",1560236584,55838.86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3542556",1560236588,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17320,NaN,NaN
"3542557",1560236589,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17263,NaN,NaN
"3542563",1560236595,NaN,351701.176470588,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3542567",1560236599,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17335.0178571429,NaN,NaN
"3542576",1560236608,NaN,NaN,38055,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3542584",1560236616,NaN,351704.104712042,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3542589",1560236621,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17306,NaN,NaN
"3542590",1560236622,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17306,NaN,NaN
"3542591",1560236623,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17335.5929283772,NaN,NaN
"3542592",1560236624,55724.96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3542593",1560236625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17328,NaN,NaN
"3542594",1560236626,NaN,351706,NaN,NaN,NaN,NaN,NaN,17345,NaN,NaN
"3542595",1560236627,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17345,NaN,NaN
"3542596",1560236628,NaN,NaN,38141,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3542598",1560236630,NaN,351712,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3542599",1560236631,NaN,351835,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3542602",1560236634,NaN,NaN,38150.3756124115,NaN,NaN,NaN,NaN,17358,NaN,NaN
"3542603",1560236635,NaN,NaN,38178,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3542604",1560236636,NaN,NaN,NaN,NaN,NaN,20099.0106809079,NaN,NaN,NaN,NaN
"3542605",1560236637,NaN,NaN,38178.5945945946,NaN,NaN,NaN,NaN,17358,NaN,NaN
"3542606",1560236638,NaN,NaN,38179,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3542607",1560236639,NaN,352461,NaN,NaN,NaN,20099,NaN,NaN,NaN,NaN
"3542618",1560236650,55818.754728972,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3542622",1560236654,NaN,NaN,38179,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3542623",1560236655,NaN,NaN,NaN,NaN,NaN,20088,NaN,NaN,NaN,NaN
"3542624",1560236656,NaN,NaN,NaN,NaN,NaN,NaN,26622.8743500867,NaN,NaN,NaN
"3542625",1560236657,NaN,NaN,NaN,NaN,NaN,NaN,26608.486586494,NaN,NaN,NaN
"3542627",1560236659,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17353.5302197802,NaN,NaN
"3542629",1560236661,NaN,352346,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3542630",1560236662,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17359,NaN,NaN
"3542631",1560236663,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17374,NaN,NaN
"3542634",1560236666,NaN,NaN,NaN,NaN,38189,NaN,NaN,NaN,NaN,NaN
"3542635",1560236667,NaN,351596.484419263,NaN,NaN,NaN,NaN,26603,NaN,NaN,NaN
"3542640",1560236672,NaN,NaN,NaN,NaN,38007.774,NaN,NaN,NaN,NaN,NaN
"3542644",1560236676,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16850,NaN
"3542646",1560236678,NaN,NaN,NaN,NaN,NaN,NaN,26599.9651669086,NaN,NaN,NaN
"3542647",1560236679,NaN,NaN,NaN,NaN,NaN,20085.0012876918,26598.5055970149,NaN,NaN,NaN
"3542650",1560236682,NaN,351595,NaN,NaN,NaN,NaN,26602.8372881356,17372.6175637394,NaN,NaN
"3542651",1560236683,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17369,NaN,NaN
"3542653",1560236685,NaN,351572.56779661,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3542660",1560236692,NaN,NaN,NaN,NaN,NaN,20100.0516905072,NaN,NaN,NaN,NaN
"3542667",1560236699,55870.506554878,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3542671",1560236703,NaN,NaN,NaN,NaN,NaN,20118,NaN,NaN,NaN,NaN
"3542672",1560236704,NaN,351528,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3542673",1560236705,NaN,NaN,NaN,31634,NaN,NaN,NaN,NaN,NaN,NaN
"3542675",1560236707,NaN,NaN,NaN,NaN,NaN,20080,NaN,NaN,NaN,NaN
"3542690",1560236722,NaN,NaN,NaN,NaN,NaN,20078.7588571429,NaN,NaN,NaN,NaN
"3542699",1560236731,NaN,NaN,NaN,NaN,NaN,NaN,26603,NaN,NaN,NaN
"3542700",1560236732,NaN,NaN,NaN,NaN,NaN,NaN,26603,NaN,NaN,NaN
"3542704",1560236736,NaN,351700,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3542705",1560236737,NaN,NaN,38187,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"3542706",1560236738,NaN,NaN,NaN,NaN,NaN,20080,NaN,NaN,NaN,NaN
"3542707",1560236739,NaN,NaN,NaN,NaN,NaN,NaN,26595,NaN,NaN,NaN
"3542709",1560236741,NaN,NaN,38197.2647197362,NaN,NaN,NaN,26595.7396094141,NaN,NaN,NaN
"3542713",1560236745,NaN,NaN,NaN,NaN,NaN,20074.3359084406,NaN,NaN,NaN,6857.00371747212
"3542714",1560236746,NaN,NaN,NaN,NaN,NaN,20071.3959810875,NaN,NaN,NaN,NaN
"3542715",1560236747,NaN,NaN,NaN,NaN,NaN,NaN,26580,NaN,NaN,NaN
"3542716",1560236748,NaN,NaN,NaN,NaN,NaN,20044,NaN,17350,NaN,NaN
"3542718",1560236750,NaN,351527,NaN,NaN,NaN,NaN,26576.5092165899,NaN,NaN,NaN
