"","Date","BTI","NPN","AGL","MNP","SOL","SBK","NED","ABG","SHP","FSR"
"4665571",1561359603,NaN,NaN,NaN,NaN,NaN,20625.472694718,NaN,NaN,NaN,NaN
"4665584",1561359616,49830.660046083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4665592",1561359624,NaN,NaN,39301,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4665595",1561359627,NaN,NaN,39302,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4665596",1561359628,NaN,NaN,39462,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4665597",1561359629,NaN,NaN,39307.2274105519,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4665598",1561359630,NaN,NaN,39300,NaN,37308.9008746356,NaN,NaN,NaN,NaN,NaN
"4665600",1561359632,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16420,NaN
"4665607",1561359639,NaN,345961.179007908,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4665608",1561359640,NaN,345878.717105263,NaN,NaN,37449,NaN,NaN,NaN,16450,NaN
"4665609",1561359641,NaN,345600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4665610",1561359642,NaN,345600,NaN,NaN,NaN,NaN,NaN,NaN,16448.3979193758,NaN
"4665611",1561359643,NaN,345797.696103896,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4665612",1561359644,49882.43,345618,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4665613",1561359645,NaN,345618,NaN,NaN,37400,NaN,NaN,NaN,NaN,NaN
"4665614",1561359646,NaN,346607,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4665615",1561359647,NaN,NaN,NaN,NaN,37280,NaN,NaN,NaN,NaN,NaN
"4665619",1561359651,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16450,NaN
"4665621",1561359653,49804.713736911,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4665622",1561359654,49828.42,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4665623",1561359655,49777.36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4665630",1561359662,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16450,NaN
"4665631",1561359663,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7044
"4665634",1561359666,NaN,NaN,NaN,NaN,NaN,20600,NaN,NaN,NaN,NaN
"4665635",1561359667,NaN,NaN,NaN,NaN,NaN,20600,NaN,NaN,NaN,NaN
"4665636",1561359668,NaN,346600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4665638",1561359670,NaN,346600,NaN,NaN,NaN,20650,NaN,NaN,NaN,NaN
"4665641",1561359673,NaN,NaN,NaN,NaN,37447,20569,NaN,NaN,16451,NaN
"4665643",1561359675,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16450,NaN
"4665645",1561359677,49682.0110577508,346740,NaN,NaN,NaN,20650,NaN,NaN,NaN,NaN
"4665646",1561359678,NaN,NaN,NaN,NaN,37447,NaN,26675,18193,16496,7036.83050847458
"4665649",1561359681,49668.36,NaN,39204.2535401214,32106,NaN,NaN,NaN,NaN,NaN,NaN
"4665651",1561359683,NaN,346600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4665652",1561359684,49587.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4665654",1561359686,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16490.8510638298,NaN
"4665656",1561359688,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16451,NaN
"4665658",1561359690,49568.77788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16450,NaN
"4665659",1561359691,NaN,345650,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4665660",1561359692,NaN,NaN,NaN,32101,NaN,NaN,NaN,NaN,16450,NaN
"4665662",1561359694,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16452,NaN
"4665663",1561359695,NaN,345650,NaN,32022,NaN,NaN,NaN,NaN,NaN,NaN
"4665665",1561359697,NaN,NaN,NaN,NaN,NaN,20600,NaN,NaN,NaN,NaN
"4665667",1561359699,49621.23,346600,39260,32101,NaN,20650,NaN,NaN,16486.5520728008,7044
"4665669",1561359701,49619.5281463415,346630.636594663,NaN,32105.9130434783,37446,20663.3997024547,NaN,NaN,16483.4374437444,7046.27066450567
"4665670",1561359702,NaN,346318,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4665671",1561359703,49620.25,346300.640609137,39260,NaN,37444,20689.3344807803,NaN,NaN,16491.0360777058,7048.91381947986
"4665672",1561359704,NaN,346032.727272727,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"4665673",1561359705,49601.59,346359.63507109,39328,NaN,37330.4970906068,20700.6807760141,NaN,NaN,16508.0171232877,7050
"4665674",1561359706,49584.8351530612,346559.869074492,39315.4289340102,NaN,37360.6111111111,20706.8159682899,NaN,NaN,16496.9815005139,7050
"4665675",1561359707,NaN,346600,NaN,NaN,37279.5555555556,NaN,NaN,NaN,NaN,NaN
"4665676",1561359708,49461.18,346319,NaN,NaN,37275.6254752852,NaN,NaN,NaN,16478,NaN
"4665677",1561359709,NaN,NaN,NaN,NaN,37240.5730337079,NaN,NaN,NaN,NaN,NaN
"4665680",1561359712,49444.7706220096,346506.790243902,39316.1299303944,NaN,37250.9550561798,20732.5956192081,NaN,NaN,16478.2402234637,7050
"4665682",1561359714,49495.54,346422.159453303,39323,NaN,37312,20742.5395590143,NaN,NaN,16492.4742857143,7050
