"","Date","BTI","NPN","AGL","MNP","SOL","SBK","NED","ABG","SHP","FSR"
"2419187",1559113219,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16190,NaN
"2419188",1559113220,NaN,NaN,NaN,NaN,NaN,NaN,24163.2805232558,NaN,NaN,NaN
"2419189",1559113221,NaN,NaN,NaN,NaN,NaN,NaN,24147,NaN,NaN,NaN
"2419190",1559113222,52326.2155877342,NaN,NaN,NaN,NaN,NaN,24264,NaN,NaN,NaN
"2419191",1559113223,52326.47,NaN,NaN,NaN,NaN,NaN,24264,NaN,NaN,NaN
"2419192",1559113224,NaN,NaN,NaN,NaN,NaN,NaN,24154.2595762021,15759.2151394422,NaN,NaN
"2419193",1559113225,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15798,NaN,NaN
"2419194",1559113226,NaN,NaN,NaN,NaN,NaN,NaN,24235.4881266491,15765,NaN,NaN
"2419196",1559113228,NaN,NaN,NaN,NaN,NaN,NaN,24171.0732984293,NaN,NaN,NaN
"2419197",1559113229,52337.27,NaN,NaN,NaN,NaN,NaN,24233,NaN,NaN,NaN
"2419200",1559113232,NaN,NaN,NaN,NaN,NaN,NaN,24234,NaN,NaN,NaN
"2419201",1559113233,NaN,311626.861200429,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2419203",1559113235,NaN,312278.040540541,NaN,NaN,NaN,NaN,24118.1189427313,NaN,NaN,NaN
"2419204",1559113236,NaN,312655.904109589,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6149
"2419206",1559113238,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6150
"2419207",1559113239,NaN,313072.422680412,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2419208",1559113240,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6150
"2419209",1559113241,NaN,313000,NaN,NaN,NaN,NaN,NaN,15770.7536352306,NaN,6151
"2419210",1559113242,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15651,NaN,6157.74587756946
"2419211",1559113243,NaN,313000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6167
"2419212",1559113244,NaN,312632,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6207.10738416988
"2419213",1559113245,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6208
"2419214",1559113246,NaN,312562.832684825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"2419215",1559113247,NaN,NaN,NaN,NaN,NaN,19100,NaN,NaN,NaN,6225
"2419216",1559113248,NaN,312999,NaN,NaN,NaN,NaN,NaN,15651,NaN,6291.92307692308
